,title,abstract,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
1,Biomedical Entity Representations with Synonym Marginalization,"Biomedical named entities often play important roles in many biomedical text mining tools. However, due to the incompleteness of provided synonyms and numerous variations in their surface forms, normalization of biomedical entities is very challenging. In this paper, we focus on learning representations of biomedical entities solely based on the synonyms of entities. To learn from the incomplete synonyms, we use a model-based candidate selection and maximize the marginal likelihood of the synonyms present in top candidates. Our model-based candidates are iteratively updated to contain more difficult negative samples as our model evolves. In this way, we avoid the explicit pre-selection of negative samples from more than 400K candidates. On four biomedical entity normalization datasets having three different entity types (disease, chemical, adverse reaction), our model BioSyn consistently outperforms previous state-of-the-art models almost reaching the upper bound on each dataset.",<TITLE>Modeling Biomedical Named Entity Normalization with Incomplete Synonyms<TITLE>Modeling Biomedical Named Entity Normalization from Incomplete Synonyms<TITLE>Modeling Biomedical Entity Normalization with Synonyms of Entities<TITLE>Modeling Biomedical Named Entity Normalization with Synonym Selection<TITLE>Modeling Biomedical Named Entity Normalization with Synonyms,<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood Maximization<TITLE>Learning Representations of Biomedical Named Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood Maxim<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood for Text<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximizing Marginal Likelihood for<TITLE>Learning Representations of Biomedical Entities from Incomplete Synonym-Based Candidate Selection and Maximum Marginal Likelihood for Normal,<TITLE>Biomedical Entity Normalization based on the Synonym Selection of Entities<TITLE>Biomedical Entity Normalization Based on the Synonym Selection of Entities<TITLE>Biomedical Entity Normalization Based on the Synonym of Entities<TITLE>Biomedical Entity Normalization Using Model-Based Synonym Selection<TITLE>Biomedical Entity Normalization Using Model-Based Candidate Selection,<TITLE>Learning Representations of Biomedical Entities based on Synonyms<TITLE>Learning Representations of Biomedical Entity based on Synonyms<TITLE>Learning Representations of Biomedical Entities Based on Synonyms<TITLE>Learning Biomedical Entity Representations based on Synonyms<TITLE>Learning Representations of Biomedical Entities from Synonyms,<TITLE> Learning Representations of Biomedical Entities Based on Synonyms<TITLE> Learning Representations of Biomedical Entities Based on Synonym Selection<TITLE> Learning Representations of Biomedical Entities with Synonyms<TITLE> Learning Representations of Biomedical Entities by Maximizing Marginal Likelihood<TITLE> Learning Representations of Biomedical Entities by Maximizing Marginal Probability,<TITLE>Learning Representations of Biomedical Named Entities from Incomplete Synonyms<TITLE>Learning Representations of Biomedical Named Expressions from Incomplete Synonyms<TITLE>Learning Representations of Biomedical Named Entities from Incomplete Synonym<TITLE>Learning Biomedical Entity Normalization from Incomplete Synonyms.<TITLE>Learning Biomedical Entity Normalization from Incomplete Synonyms
2,Shaping Visual Representations with Language for Few-Shot Classification,"By describing the features and abstractions of our world, language is a crucial tool for human learning and a promising source of supervision for machine learning models. We use language to improve few-shot visual classification in the underexplored scenario where natural language task descriptions are available during training, but unavailable for novel tasks at test time. Existing models for this setting sample new descriptions at test time and use those to classify images. Instead, we propose language-shaped learning (LSL), an end-to-end model that regularizes visual representations to predict language. LSL is conceptually simpler, more data efficient, and outperforms baselines in two challenging few-shot domains.",<TITLE>Language-shaped Learning for Few-Shot Visual Classification<TITLE>Language-shaped Learning for Few-shot Visual Classification<TITLE>Language-Shape Learning for Few-Shot Visual Classification<TITLE>Language-Shape Learning for Few-shot Visual Classification<TITLE>Language-shaped Learning for Few-Shot Image Classification,<TITLE>Language-Shared Few-shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Abstract<TITLE>Language-Shared Few-Shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Abstract<TITLE>Language-Shared Few-shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Text<TITLE>Language-Shared Few-Shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Text<TITLE>Language-Shared Few-shot Visual Classification with End-to-End Modeling of Natural Language Descriptors and Image,<TITLE>Language-Shaped Learning for Few-Shot Visual Classification<TITLE>Language-Shaped Learning for Few-shot Visual Classification<TITLE>Language-Shaped Learning for Few-Shot Classification<TITLE>Language-Shaped Learning for Few-Shot Visual Classification<TITLE>Language-Shaped Learning for Few-Shot Visual Classification,<TITLE>Language-shaped Learning for Few-Shot Visual Classification<TITLE>Language-shaped Learning for Few-shot Visual Classification<TITLE>Language-shaped Learning for Visual Classification<TITLE>Language-shaped Learning to Predict Language<TITLE>Language-shaped Learning,<TITLE> Language-Structure Learning for Few-Shot Visual Classification<TITLE> Language-Structure Learning for Few-shot Visual Classification<TITLE> Language-Oriented Few-Shot Visual Classification<TITLE> Language-Sensitive Few-Shot Visual Classification<TITLE> Language-Structure Learning for Visual Classification,<TITLE>Language-Shaped Learning for Few-Shot Visual Classification<TITLE>Language-Shaped Learning for Few-shot Visual Classification<TITLE>Language-shaped Learning for Few-Shot Visual Classification<TITLE>Language-shaped Learning for Few-shot Visual Classification<TITLE>Language-Shaped Learning for Few-Shot Visual Recognition
4,Deriving lexical and syntactic expectation-based measures for psycholinguistic modeling via incremental top-down parsing,"A number of recent publications have made use of the incremental output of stochastic parsers to derive measures of high utility for psycholinguistic modeling, following the work of Hale (2001; 2003; 2006). In this paper, we present novel methods for calculating separate lexical and syntactic surprisal measures from a single incremental parser using a lexicalized PCFG. We also present an approximation to entropy measures that would otherwise be intractable to calculate for a grammar of that size. Empirical results demonstrate the utility of our methods in predicting human reading times.",<TITLE>Estimating High Utility Measures for Psycholinguistic Modeling<TITLE>Estimating High Utility Measures for Psycholinguistic Models<TITLE>Estimating High Utility Measures from Incremental Parser Output<TITLE>Estimating High Utility Measures from Incremental Parsing Output<TITLE>Estimating High Utility Measures from Incremental Parsers,<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and Entropy Measures from a Single Incremental<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and Entropy Measures for Predicting Human Reading<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser using a Lexicalized PCFG and Ent<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and a Lexicalized PCFG-Based<TITLE>Incremental Measures of Psycholinguistic Modeling Using an Incremental Parser and a Lexicalized PCFG-based,<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling and Reading Times<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling and Prediction<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling<TITLE>Incremental Measures of High Utility in Psycholinguistic Modeling<TITLE>Incremental Measures of High Utility for Psycholinguistic Modeling,<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures from a Single Incremental Parser<TITLE>Calculing Separate Lexical and Syntactic Surprisal Measures from a Single Incremental Parser<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures from a Single Incentive Parser<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures from a Single Incentives Parser<TITLE>Calculating Separate Lexical and Syntactic Surprisal Measures using a Lexicalized PCFG,<TITLE> Incremental Parsing with Lexicalized PCFGs<TITLE> Incremental Parsing Using Lexicalized PCFGs<TITLE> Incremental Parsing with Lexicalized PCFG Measures<TITLE> Incremental Incremental Parsing with Lexicalized PCFG<TITLE> Incremental Incremental Parsing Using Lexicalized PCFG,<TITLE>Lexical and Syntactic Surprisal Measures from an Incremental PCFG<TITLE>Lexical and Syntactic Surprisal Measures for Incremental PCFGs<TITLE>Lexical and Syntactic Surprisal Measures of Incremental PCFG Output<TITLE>Lexical and Syntactic Surprisal Measures for Incremental PCFG Output<TITLE>Lexical and Syntactic Surprisal Measures for Incremental PCFG
5,Shared Logistic Normal Distributions for Soft Parameter Tying in Unsupervised Grammar Induction,"We present a family of priors over probabilistic grammar weights, called the shared logistic normal distribution. This family extends the partitioned logistic normal distribution, enabling factored covariance between the probabilities of different derivation events in the probabilistic grammar, providing a new way to encode prior knowledge about an unknown grammar. We describe a variational EM algorithm for learning a probabilistic grammar based on this family of priors. We then experiment with unsupervised dependency grammar induction and show significant improvements using our model for both monolingual learning and bilingual learning with a non-parallel, multilingual corpus.",<TITLE>Learning Probabilistic Grammar Priors with Shared Logistic Normal Distributions<TITLE>Learning Probabilistic Grammars with Shared Logistic Normal Distributions<TITLE>Learning Probabilistic Grammars with Shared Logistic Normal Distributions.<TITLE>Learning Probabilistic Grammars using Shared Logistic Normal Distributions.<TITLE>Learning Probabilistic Grammars using Shared Logistic Normal Distributions,<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Probabilistic Priors over Probabil<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Variational EM Algorithms over Prob<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Probabilistic Priors over Belief Networks<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Probabilistic Priors over Belief Prop<TITLE>Unsupervised Dependency Grammar Induction with Shared Logistic Normal Distributions and Variational EM Algorithms over Pri,<TITLE>A Shared Logistic Normal Distribution for Learning Probabilistic Grammar<TITLE>A Shared Logistic Normal Distribution for Grammar Induction<TITLE>A Shared Logistic Normal Distribution for Grammar Induction<TITLE>A Shared Logistic Normal Distribution for Grammar Learning<TITLE>A Shared Logistic Normal Distribution for Grammar Induction,<TITLE>Partitioned Logistic Normal Distribution for Probabilistic Grammars<TITLE>Partitioned Logistic Normal Distribution of Probabilistic Grammars<TITLE>A Variational EM algorithm for learning Probabilistic Grammars<TITLE>Partitioned Logistic Normal Distribution for Probabilistic Grammar Knowledge<TITLE>Partitioned Logistic Normal Distribution for Probabilistic Grammar,<TITLE> Learning Probabilistic Grammars with Shared Logistic Normal Distributions<TITLE> Unsupervised Probabilistic Grammar Induction and Bilingual Learning<TITLE> Unsupervised Probabilistic Grammar Induction<TITLE> Learning Probabilistic Grammars with Shared Logistic Regular Distributions<TITLE> Unsupervised Dependency Grammar Induction and Bilingual Learning,<TITLE>A Shared Logistic Normal Distribution for Learning Probabilistic Grammars<TITLE>A Family of Priors over Probabilistic Grammar Weights<TITLE>A Shared Logistic Normal Distribution for Probabilistic Grammar Induction<TITLE>A Shared Logistic Normal Distribution for Probabilistic Grammars<TITLE>A Shared Logistic Normal Distribution for Unsupervised Grammar Induction
9,CancerEmo: A Dataset for Fine-Grained Emotion Detection,"Emotions are an important element of human nature, often affecting the overall wellbeing of a person. Therefore, it is no surprise that the health domain is a valuable area of interest for emotion detection, as it can provide medical staff or caregivers with essential information about patients. However, progress on this task has been hampered by the absence of large labeled datasets. To this end, we introduce CancerEmo, an emotion dataset created from an online health community and annotated with eight fine-grained emotions. We perform a comprehensive analysis of these emotions and develop deep learning models on the newly created dataset. Our best BERT model achieves an average F1 of 71%, which we improve further using domain-specific pre-training.",<TITLE>CancerEmo: A Dataset for Fine-Grained Emotions<TITLE>CancerEmo: A Dataset of Fine-Grained Emotions<TITLE>CancerEmo: An Emotion Dataset for Health and Safety<TITLE>CancerEmo: An Emotion Dataset for Health Domain<TITLE>CancerEmo: A Dataset for Emotion Detection,<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in Online Health Community<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in an Online Health<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in Online Health Communities<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in a Health Community<TITLE>C CancerEmo: A Dataset for Fine-Grained Emotion Detection and Domain Adaptation in Health Community Communities,<TITLE>CancerEmo: A Large-Scale Dataset for Emotion Detection in the Health Domain<TITLE>CancerEmo: A Dataset for Fine-Grained Emotion Detection in Health Domain<TITLE>CancerEmo: A Large-Scale Dataset for Emotion Detection in the Health Domain<TITLE>CancerEmo: A Dataset for Fine-Grained Emotion Detection in the Health Domain<TITLE>CancerEmo: A Dataset for Fine-grained Emotion Detection in the Health Domain,<TITLE>CancerEmo: An Emotion Dataset for Emotion Detection<TITLE>CancerEmo: A Dataset of Emotions from an Online Health Community<TITLE>CancerEmo: A Dataset for Emotion Detection in Health<TITLE>CancerEmo: An Emotion Dataset created from an Online Health Community<TITLE>CancerEmo: An Emotion Dataset created from an online health community,<TITLE> CancerEmo: A Fine-Grained Emotion Dataset for Healthcare<TITLE> CancerEmo: A Fine-Grained Emotion Dataset for Health Care<TITLE> CancerEmo: A Fine-Grained Emotion Dataset<TITLE> CancerEmo: A Fine-Grained Emotion Dataset for Medical Care<TITLE> CancerEmo: A Corpus-based Emotion Dataset,<TITLE>CancerEmo: A Fine-Grained Dataset for Emotion Detection in Health<TITLE>CancerEmo: A Dataset for Fine-grained Emotion Detection in Health Domains<TITLE>CancerEmo: A Dataset for Fine-grained Emotion Detection in Health<TITLE>CancerEmo: A Dataset for Fine-Grained Emotions in Health<TITLE>CancerEmo: A Health Dataset for Fine-grained Emotion Detection
10,Generalized Character-Level Spelling Error Correction,"We present a generalized discriminative model for spelling error correction which targets character-level transformations. While operating at the character level, the model makes use of wordlevel and contextual information. In contrast to previous work, the proposed approach learns to correct a variety of error types without guidance of manuallyselected constraints or language-specific features. We apply the model to correct errors in Egyptian Arabic dialect text, achieving 65% reduction in word error rate over the input baseline, and improving over the earlier state-of-the-art system.",<TITLE>A Discriminative Model for Spelling Error Correction in Arabic Dialect Text<TITLE>A Discriminative Model for Spelling Error Correction in Arabic Dialects<TITLE>A Generalized Discriminative Model for Spelling Error Correction<TITLE>A Discriminative Model for Improved Spelling Error Correction<TITLE>Learning to Correct Spelling Errors in Arabic Dialect Text,<TITLE>A Generalized Discriminative Model for Spelling Error Correction in Arabic-Arabic Dialectual Speech: An Application<TITLE>A Generalized Discriminative Model for Spelling Error Correction in Arabic-Arabic Dialectual Speech: Learning Character<TITLE>A Generalized Discriminative Model for Spelling Error Correction in Arabic-Arabic Dialectual Speech: The Case<TITLE>A Generalized Discriminative Model for Spelling Error Correction in Arabic-Arabic Dialectual Speech: Learning to<TITLE>A Generalized Discriminative Model for Spelling Error Correction in Arabic-Arabic Dialectal Speech: Learning Character,<TITLE>A Generalized Discriminative Model for Spelling Error Correction with Character-Level Information<TITLE>A Generalized Discriminative Model for Spelling Error Correction with Character-Level Transformations<TITLE>A Generalized Discriminative Model for Spelling Error Correction with Character-Level Transformation<TITLE>A Generalized Discriminative Model for Spelling Error Correction<TITLE>A Generalized Discriminative Model for Correcting Spelling Errors,<TITLE>A Generalized Discriminative Model for Structural Error Correction<TITLE>A Generalized Discriminative Model for Correcting Errors in Arabic<TITLE>A Generalized Discriminative Model for Spelling Error Correction<TITLE>A Discriminative Model for Correcting Errors in Arabic<TITLE>A Discriminative Model for Correcting Errors,<TITLE> Generalized Discriminative Model for Spelling Error Correction<TITLE> A Generalized Discriminative Model for Spelling Error Correction<TITLE> Generalized Discriminative Models for Spelling Error Correction<TITLE> Generalized Discriminative Modeling for Spelling Error Correction<TITLE> Generalized Discriminative Spelling Error Correction,<TITLE>Generalized Discriminative Model for Character-Level Spelling Error Correction<TITLE>A Generalized Discriminative Model for Character-Level Spelling Correction<TITLE>A Generalized Discriminative Model for Spelling Error Correction<TITLE>Generalized Discriminative Model for Spelling Error Correction<TITLE>Character-Level Spelling Error Correction
13,A Geometric Method to Construct Minimal Peer Prediction Mechanisms,"Minimal peer prediction mechanisms truthfully elicit private information (e.g., opinions or experiences) from rational agents without the requirement that ground truth is eventually revealed. In this paper, we use a geometric perspective to prove that minimal peer prediction mechanisms are equivalent to power diagrams, a type of weighted Voronoi diagram. Using this characterization and results from computational geometry, we show that many of the mechanisms in the literature are unique up to affine transformations, and introduce a general method to construct new truthful mechanisms.",<TITLE>Minimal Peer Prediction Mechanisms are Equivalent to Power Diagrams<TITLE>A Geometric Perspective on Minimal Peer Prediction via Power Diagrams<TITLE>A Geometric Perspective on Minimal Peer Prediction Mechanisms.<TITLE>A Geometric Perspective on Minimal Peer Prediction Mechanisms<TITLE>A Geometric View of Minimal Peer Prediction Mechanisms,<TITLE>Geometric Analysis of Minimal Peer Prediction Mechanisms Truthfully Elicited from Rational Agents: Structure and Affine Transformations<TITLE>Geometric Analysis of Minimal Peer Prediction Mechanisms Truthfully Elicited from Rational Agents: An Affine-Based Approach<TITLE>Geometric Analysis of Minimal Peer Prediction Mechanisms Truthfully Elicited From Rational Agents: An Affine-Based Approach<TITLE>Geometric Analysis of Minimal Peer Prediction Mechanisms Truthfully Elicited from Rational Agents: An Affine-Based Perspective<TITLE>Geometric Analysis of Minimal Peer Prediction Mechanisms Truthfully Elicited From Rational Agents: An Affine-Based Perspective,<TITLE>Minimal Peer Prediction Mechanisms are Weighted Voronoi Diagrams<TITLE>Minimal Peer Prediction Mechanisms are Weighted Power Diagrams<TITLE>Minimal Peer Prediction Mechanisms are Power Diagrams<TITLE>Minimal Peer Prediction Mechanisms are Power Diagrams<TITLE>Minimal Peer Prediction Mechanisms are Power Diagrams,<TITLE>A Geometric Perspective for Minimal Peer Prediction Mechanisms<TITLE>A Geometric Perspective for Mindful Peer Prediction Mechanisms<TITLE>Geometric Perspectives for Minimal Peer Prediction Mechanisms<TITLE>A Geometric Perspective on Minimal Peer Prediction Mechanisms<TITLE>Geometry for Minimal Peer Prediction Mechanisms,<TITLE> Truthful Minimal Peer Prediction Mechanisms<TITLE> A Geometric Perspective on Minimal Peer Prediction Mechanisms<TITLE> A Geometric Perspective to Minimal Peer Prediction Mechanisms<TITLE> Efficient Minimal Peer Prediction Mechanisms<TITLE> Truthful Peer Prediction Mechanisms,<TITLE>Minimal Peer Prediction Mechanisms Are Like Power Diagram<TITLE>Truthful Minimal Peer Prediction via Geometric Power Diagram<TITLE>Minimal Peer Prediction Mechanisms as Power Diagram Models<TITLE>Minimal Peer Prediction Mechanisms as Power Diagram<TITLE>Truthful Minimal Peer Prediction Mechanisms
16,Faster and Simpler Algorithm for Optimal Strategies of Blotto Game,"In the Colonel Blotto game, which was initially introduced by Borel in 1921, two colonels simultaneously distribute their troops across different battlefields. The winner of each battlefield is determined independently by a winner-take-all rule. The ultimate payoff of each colonel is the number of battlefields he wins. This game is commonly used for analyzing a wide range of applications such as the U.S presidential election, innovative technology competitions, advertisements, etc. There have been persistent efforts for finding the optimal strategies for the Colonel Blotto game. After almost a century Ahmadinejad, Dehghani, Hajiaghayi, Lucier, Mahini, and Seddighin provided a poly-time algorithm for finding the",<TITLE>Finding Optimal Strategies for the Colonel Blotto Game<TITLE>The Colonel Blotto Game: Finding Optimal Strategies<TITLE>Finding Optimal Strategies for the Colonel Blotto Games<TITLE>Optimal Strategies for the Colonel Blotto Game<TITLE>The Colonel Blotto Game,<TITLE>The Colonel Blotto Game: Finding the optimal strategies for the Colonel-to-Colonot Strategy Across Different Batt battlefield<TITLE>The Colonel Blotto Game: Finding the optimal strategies for the Colonel-to-Colonot Strategy Across Multi-Field Games<TITLE>The Colonel Blotto Game: Finding the optimal strategies for the Colonel-to-Colonot Strategy Across Multi-Field Differences<TITLE>The Colonel Blotto Game: Finding the optimal strategies for the Colonel-to-Colonot Strategy Across Different Bounded Games<TITLE>The Colonel Blotto Game: Finding the optimal strategies for the Colonel-to-Colonot Strategy Across Different Battches,<TITLE>A Polynomial-Time Algorithm for the Colonel Blotto Game.<TITLE>A Polynomial-Time Algorithm for the Colonel Blotto Game<TITLE>A Poly-Time Algorithm for the Colonel Blotto Game.<TITLE>A Poly-Time Algorithm for the Colonel Blotto Game<TITLE>Finding Optimal Strategies for the Colonel Blotto Game,<TITLE>The Colonel Blotto Game: A Poly-Time Optimization Tool<TITLE>The Colonel Blotto Game: A Poly-Time Approach<TITLE>The Collectible Blotto Game<TITLE>The Collective Blotto Game<TITLE>The Colonel Blotto Game,<TITLE> Colonel Blotto: A Poly-Time Algorithm for Finding the Optimal Strategies for the Colored General<TITLE> Colonel Blotto: A Poly-Time Algorithm for Finding the Optimal Strategies for the Colored One<TITLE> Colonel Blotto: A Poly-Time Algorithm for Finding Generalized Strategies<TITLE> The Colonel Blotto Game<TITLE> Colonel Blotto: A Game-Theoretic Approach,<TITLE>A Poly-Time Algorithm for Finding the Optimal Strategies for the Colonel Blotto Game<TITLE>A Poly-Time Algorithm for Finding the Optimal Strategies in the Colonel Blotto Game<TITLE>The Colonel Blotto Game: A Poly-Time Algorithm for Finding the Optimal Strategies<TITLE>A Poly-Time Algorithm for Finding the Optimal Strategies of the Colonel Blotto Game<TITLE>A Poly-Time Algorithm for Finding the Optimal Strategies for the Colonel Blotto Games
18,#SupportTheCause: Identifying Motivations to Participate in Online Health Campaigns,"We consider the task of automatically identifying participants’ motivations in the public health campaign Movember and investigate the impact of the different motivations on the amount of campaign donations raised. Our classification scheme is based on the Social Identity Model of Collective Action (van Zomeren et al., 2008). We find that automatic classification based on Movember profiles is fairly accurate, while automatic classification based on tweets is challenging. Using our classifier, we find a strong relation between types of motivations and donations. Our study is a first step towards scaling-up collective action research methods.",<TITLE>Automatic Identification of Participants' Motives in the Public Health Campaign Movember<TITLE>Automatic Classification of Participants' Motives in the Public Health Campaign Movember<TITLE>Automatic Identification of Participants' Motives in the Movember Campaign<TITLE>Identifying Participants' Motives in the Public Health Campaign Movember<TITLE>Automatic Identification of Participants' Motives in Movember,<TITLE>Automatic Classification of Participants' Motivations in Movember Campaigns Using Collective Action Research and Social Identity Model of Collective Action<TITLE>Automatic Classification of Participants' Motivations in Movember Campaigns Using Collective Action Research and Social Identity Model of Movember<TITLE>Automatic Classification of Participants' Motivations in Movember Campaigns Using Social Identity Model of Collective Action Profiles and Twe<TITLE>Automatic Classification of Participants' Motivations in Movember Campaigns Using Social Identity Model of Collective Action Profiles and Automatic<TITLE>Automatic Classification of Participants' Motivations in Movember Campaigns Using Social Identity Model of Collective Action Profiles and Multi,<TITLE>Automatic classification of Movember participants' motivations and donations<TITLE>Automatic Classification of Movember Participants' Motives<TITLE>Automatic classification of Movember motivations and donations<TITLE>Automatic classification of motivations in Movember<TITLE>Automatic classification of Movember participants' motivations,<TITLE>Identifying Motivations in the Public Health Campaign Movember<TITLE>Identifying Motivations in Public Health Campaign Movember<TITLE>Automatic Identification of Motivations in Public Health Campaign Movember<TITLE>Identifying Motivations for Public Health Campaign Movember<TITLE>Automatic Classification for Public Health Campaign Movember,<TITLE> Automatic Identification of Participants' Motivations in the Campaign<TITLE> Automatic Identification of Participants' Motivations in Campaigns<TITLE> Automatic Identification of Political Motivations in Campaigns<TITLE> Automatic Characterization of Political Campaign Contributions<TITLE> Automatic Identification of Political Campaign Contributions,<TITLE>Identifying Participants' Motivatedness in the Movember Campaign<TITLE>Identifying Participants' Motivatedness in the Movember campaign<TITLE>Identifying Participants'  motivations in the Movember campaign<TITLE>Identifying Participants'  motivations for the Movember campaign<TITLE>Automatic Classification of Movember Participants'  motivations
19,Learning Invariant Representations Of Planar Curves,"We propose a metric learning framework for the construction of invariant geometric functions of planar curves for the Euclidean and Similarity group of transformations. We leverage on the representational power of convolutional neural networks to compute these geometric quantities. In comparison with axiomatic constructions, we show that the invariants approximated by the learning architectures have better numerical qualities such as robustness to noise, resiliency to sampling, as well as the ability to adapt to occlusion and partiality. Finally, we develop a novel multi-scale representation in a similarity metric learning paradigm.",<TITLE>Learning invariant geometric functions of planar curves for Euclidean and Similarity transformations<TITLE>Learning invariant geometric functions of planar curves with convolutional neural networks.<TITLE>Learning invariant geometric functions of planar curves with convolutional neural networks<TITLE>Learning Geometric Functions of Planar Curves with Convolutional Neural Networks<TITLE>Learning invariant geometric functions of planar curves,<TITLE>Metric Learning of Invariant Geometric Functions for Euclidean and Similarity Metric Learning with Convolutional Neural<TITLE>Metric Learning of Invariant Geometric Functions for Euclidean and Similarity Metric Learning: A Case Study on<TITLE>Metric Learning of Invariant Geometric Functions for Euclidean and Similarity Metric Learning: A Convex<TITLE>Metric Learning of Invariant Geometric Functions for Euclidean and Similarity Metric Learning: A Case Study in<TITLE>Metric Learning of Invariant Geometric Functions for Euclidean and Similarity Metric Learning with Convolutional Networks,<TITLE>Metric Learning for the Euclidean and Similarity Group of Transformations<TITLE>Metric Metric Learning for the Euclidean and Similarity Group<TITLE>Metric Learning for the Euclidean and Similarity Transformations<TITLE>Metric Learning for the Euclidean and Similarity Transformations<TITLE>Metric Learning of Similarity Metric Functions,<TITLE>Invariant Geometry of Planar Curves for Euclidean and Similarity<TITLE>Multi-Scale Simultaneous Learning for Planar Curves<TITLE>Multi-Scale Simultaneous Learning of Planar Curves<TITLE>Invariant Geometric Functions of Planar Curves<TITLE>Invariant Geometry of Planar Curves,<TITLE> A Metric Learning Framework for Planar Curves<TITLE> Semi-Supervised Learning of Invariant Geometric Functions<TITLE> Semi-Supervised Learning of Equivariant Geometric Functions<TITLE> Semi-supervised Learning of Equivariant Geometric Functions<TITLE> Semi-Supervised Learning of Equivariant Geometry,<TITLE>Similarity Metric Learning with Convolutional Neural Networks.<TITLE>Similarity Metric Learning via Convolutional Neural Networks.<TITLE>Similarity Metric Learning with Convolutional Neural Networks<TITLE>Similarity Metric Learning via Convolutional Neural Networks<TITLE>Metric Learning of Invariant Geometric Functions
