,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,1.0,0.0,2.0,5.0,0.0,0.0,2.0
1,3.0,1.0,0.0,1.0,1.0,1.0,3.0
2,3.0,2.0,1.0,3.0,0.0,0.0,1.0
3,4.0,0.0,1.0,0.0,4.0,0.0,1.0
4,2.0,0.0,1.0,2.0,3.0,1.0,1.0
5,2.0,2.0,1.0,1.0,0.0,0.0,4.0
6,1.0,1.0,0.0,3.0,0.0,2.0,3.0
7,1.0,1.0,0.0,3.0,0.0,2.0,3.0
8,5.0,3.0,0.0,1.0,1.0,0.0,0.0
9,3.0,0.0,1.0,3.0,0.0,1.0,2.0
10,0.0,2.0,0.0,1.0,0.0,2.0,1.0
11,2.0,1.0,0.0,0.0,0.0,3.0,0.0
12,2.0,2.0,0.0,0.0,0.0,2.0,0.0
13,2.0,1.0,2.0,1.0,0.0,0.0,0.0
14,1.0,3.0,0.0,0.0,1.0,1.0,0.0
15,1.0,1.0,0.0,2.0,2.0,0.0,0.0
16,3.0,1.0,0.0,2.0,0.0,0.0,0.0
17,0.0,3.0,2.0,1.0,0.0,0.0,0.0
18,1.0,1.0,1.0,1.0,1.0,0.0,1.0
19,0.0,3.0,1.0,0.0,0.0,2.0,0.0
20,1.0,0.0,1.0,2.0,0.0,2.0,0.0
21,3.0,0.0,0.0,1.0,0.0,0.0,2.0
22,2.0,1.0,0.0,3.0,0.0,0.0,0.0
23,3.0,0.0,0.0,1.0,0.0,0.0,2.0
24,1.0,3.0,1.0,1.0,0.0,0.0,0.0
25,1.0,2.0,1.0,2.0,0.0,0.0,0.0
26,2.0,0.0,0.0,0.0,1.0,3.0,0.0
27,1.0,1.0,0.0,2.0,1.0,1.0,0.0
28,2.0,1.0,0.0,0.0,0.0,1.0,2.0
29,1.0,0.0,0.0,1.0,0.0,1.0,3.0
30,1.0,0.0,1.0,2.0,1.0,1.0,0.0
31,3.0,0.0,1.0,0.0,0.0,0.0,2.0
32,0.0,0.0,0.0,1.0,3.0,0.0,2.0
33,0.0,1.0,1.0,0.0,0.0,3.0,1.0
34,0.0,0.0,3.0,3.0,0.0,0.0,0.0
35,2.0,1.0,1.0,0.0,1.0,0.0,1.0
36,0.0,1.0,1.0,0.0,1.0,0.0,3.0
37,3.0,0.0,1.0,1.0,0.0,0.0,1.0
38,0.0,1.0,2.0,3.0,0.0,0.0,0.0
39,0.0,0.0,1.0,2.0,0.0,2.0,1.0
40,1.0,0.0,1.0,2.0,1.0,1.0,0.0
41,0.0,1.0,1.0,2.0,0.0,0.0,2.0
42,2.0,2.0,0.0,1.0,0.0,0.0,1.0
43,0.0,1.0,1.0,1.0,3.0,0.0,0.0
44,2.0,1.0,0.0,3.0,0.0,0.0,0.0
45,0.0,2.0,1.0,2.0,0.0,0.0,1.0
46,1.0,0.0,1.0,1.0,2.0,0.0,1.0
47,2.0,0.0,0.0,3.0,0.0,1.0,0.0
48,1.0,2.0,0.0,1.0,0.0,0.0,2.0
49,3.0,1.0,1.0,0.0,0.0,0.0,1.0
50,3.0,1.0,0.0,0.0,0.0,0.0,2.0
51,3.0,1.0,0.0,1.0,1.0,0.0,0.0
52,2.0,0.0,0.0,1.0,2.0,0.0,1.0
53,2.0,1.0,1.0,1.0,0.0,0.0,1.0
54,3.0,1.0,0.0,1.0,0.0,1.0,0.0
55,0.0,2.0,0.0,2.0,0.0,2.0,0.0
56,1.0,2.0,0.0,0.0,1.0,0.0,2.0
57,2.0,0.0,1.0,1.0,1.0,0.0,1.0
58,2.0,1.0,0.0,0.0,0.0,1.0,2.0
59,0.0,1.0,0.0,2.0,0.0,0.0,3.0
60,0.0,0.0,1.0,3.0,1.0,5.0,0.0
61,5.0,1.0,0.0,0.0,0.0,4.0,0.0
62,0.0,0.0,4.0,0.0,2.0,0.0,4.0
63,2.0,1.0,4.0,0.0,1.0,2.0,0.0
64,1.0,0.0,2.0,1.0,0.0,2.0,4.0
65,4.0,4.0,1.0,0.0,0.0,0.0,1.0
66,2.0,0.0,0.0,0.0,1.0,2.0,5.0
67,1.0,1.0,2.0,1.0,0.0,1.0,4.0
68,0.0,1.0,3.0,4.0,1.0,1.0,0.0
69,1.0,0.0,4.0,0.0,2.0,1.0,2.0
70,2.0,0.0,1.0,0.0,0.0,0.0,3.0
71,1.0,0.0,0.0,2.0,0.0,2.0,1.0
72,1.0,2.0,1.0,0.0,1.0,1.0,0.0
73,1.0,0.0,0.0,1.0,2.0,0.0,2.0
74,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75,3.0,2.0,0.0,0.0,1.0,0.0,0.0
76,2.0,0.0,0.0,0.0,1.0,0.0,3.0
77,1.0,0.0,1.0,1.0,0.0,0.0,3.0
78,1.0,0.0,0.0,2.0,0.0,0.0,3.0
79,2.0,2.0,0.0,1.0,0.0,1.0,0.0
80,2.0,1.0,0.0,2.0,1.0,0.0,0.0
81,3.0,1.0,0.0,0.0,0.0,0.0,2.0
82,0.0,0.0,1.0,3.0,0.0,0.0,2.0
83,2.0,0.0,0.0,3.0,1.0,0.0,0.0
84,0.0,2.0,0.0,2.0,2.0,0.0,0.0
85,0.0,0.0,0.0,3.0,1.0,2.0,0.0
86,3.0,0.0,0.0,0.0,1.0,2.0,0.0
87,1.0,0.0,1.0,0.0,0.0,2.0,2.0
88,2.0,0.0,0.0,0.0,1.0,3.0,0.0
89,0.0,1.0,1.0,1.0,0.0,0.0,3.0
90,0.0,0.0,1.0,2.0,3.0,0.0,0.0
91,1.0,0.0,0.0,2.0,3.0,0.0,0.0
92,2.0,2.0,0.0,0.0,1.0,0.0,1.0
93,1.0,2.0,0.0,1.0,0.0,1.0,1.0
94,1.0,0.0,2.0,0.0,2.0,0.0,1.0
95,2.0,0.0,0.0,0.0,0.0,1.0,3.0
96,1.0,0.0,2.0,0.0,2.0,0.0,1.0
97,0.0,0.0,0.0,2.0,3.0,0.0,1.0
