,title,abstract,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,Learning Latent Semantic Annotations for Grounding Natural Language to Structured Data,"Previous work on grounded language learning did not fully capture the semantics underlying the correspondences between structured world state representations and texts, especially those between numerical values and lexical terms. In this paper, we attempt at learning explicit latent semantic annotations from paired structured tables and texts, establishing correspondences between various types of values and texts. We model the joint probability of data fields, texts, phrasal spans, and latent annotations with an adapted semi-hidden Markov model, and impose a soft statistical constraint to further improve the performance. As a by-product, we leverage the induced annotations to extract templates for language generation. Experimental results suggest the feasibility of the setting in this study, as well as the effectiveness of our proposed framework.",<TITLE>Learning Explicit Latent Semantic Annotations from Structured Tables and Texts<TITLE>Learning Latent Semantic Annotations from Structured Tables and Texts<TITLE>Learning Explicit Latent Semantics from Structured Tables and Texts<TITLE>Latent Semantic Annotation for Grounded Language Generation<TITLE>Learning Explicit Latent Semantics for Grounded Language Generation,<TITLE>Learning Explicit Latent Semantic Annotations from Structured Tables and Texts with an Adapted Semi-hidden Markov Model for<TITLE>Learning Explicit Latent Semantic Annotations from Structured Tables and Texts with an Adapted Semi-hidden Markov Model for Ground<TITLE>Learning Explicit Latent Semantic Annotations from Structured Tables and Texts with an Adapted Semi-Hidden Markov Model for Ground<TITLE>Learning Explicit Latent Semantic Annotations from Structured Tables and Texts with an Adapted Semi-Hidden Markov Model for<TITLE>Learning Explicit Latent Semantic Annotations from Structured Tables and Texts with an Adapted Markov Model for Grounded Language,<TITLE>Grounded Language Learning with Latent Semantic Annotation<TITLE>Grounded Language Learning with Latent Semantic Annotations<TITLE>Grounded Language Learning with Latent Semantic Annotation<TITLE>Grounded Language Learning with Latent Semantic Annotations<TITLE>Grounded Language Learning with Latent Semantic Annotations,<TITLE>Learning Exact Latent Semantics from paired Structured Tables and Texts<TITLE>Learning Exact Latent Semantic Annotations from paired Structured Texts<TITLE>Learning Latent Semantic Annotations from paired Structured Texts<TITLE>Learning explicit latent semantic annotations from paired structured tables and texts<TITLE>Learning explicit semantic annotations from paired structured tables and texts,<TITLE> Latent Semantic Annotations for Grounded Language Learning<TITLE> Learning Explicit Latent Semantic Annotations from Paired Tables and Texts<TITLE> Learning Explicit Latent Semantic Annotations from Packed Tables and Texts<TITLE> Learning Explicit Latent Semantic Annotation from Paired Tables and Texts<TITLE> Learning Explicit Latent Semantic Annotations from Paired Table and Text,<TITLE>Learning Explicit Latent Semantic Annotations for Grounded Language Learning<TITLE>Learning Explicit Latent Semantic Annotations for Grounded Language Generation<TITLE>Learning Latent Semantic Annotations from Pairwise Structured Tables and Text<TITLE>Explicit Latent Semantic Annotations for Grounded Language Learning<TITLE>Explicit Latent Semantic Annotations for Grounded Language Generation
1,Partially Supervised Sense Disambiguation by Learning Sense Number from Tagged and Untagged Corpora,"Supervised and semi-supervised sense disambiguation methods will mis-tag the instances of a target word if the senses of these instances are not defined in sense inventories or there are no tagged instances for these senses in training data. Here we used a model order identification method to avoid the misclassification of the instances with undefined senses by discovering new senses from mixed data (tagged and untagged corpora). This algorithm tries to obtain a natural partition of the mixed data by maximizing a stability criterion defined on the classification result from an extended label propagation algorithm over all the possible values of the number of senses (or sense number, model order). Experimental results on SENSEVAL-3 data indicate that it outperforms SVM, a one-class partially supervised classification algorithm, and a clustering based model order identification algorithm when the tagged data is incomplete.",<TITLE>Supervised and Semi-Supervised Sense Disambiguation Using Model Order Identification<TITLE>Supervised and Semi-Supervised Sense Disambiguation with Mixed Data.<TITLE>Supervised and Semi-Supervised Sense Disambiguation with Mixed Data<TITLE>Supervised and Semi-supervised Sense Disambiguation with Mixed Data<TITLE>Supervised and Semi-Supervised Sense Disambiguation Using Mixed Data,<TITLE>Semi-Supervised and Semi-supervised Sense Disambiguation using Label Propagation and Clustering Based<TITLE>Semi-Supervised and Semi-supervised Sense Disambiguation Using Label Propagation and Clustering Based<TITLE>Semi-Supervised and Semi-supervised Sense Disambiguation using Label Propagation and Model Order Identification.<TITLE>Semi-Supervised and Semi-supervised Sense Disambiguation Using Label Propagation and Model Order Identification.<TITLE>Semi-Supervised and Semi-supervised Sense Disambiguation using Label Propagation and Clustering based,<TITLE>Model Order Identification for Sense Disambiguation with Mixed Data<TITLE>Model Order Identification for Sense Disambiguation Using Mixed Data<TITLE>Modeling Order Identification for Sense Disambiguation<TITLE>Model Order Identification for Sense Disambiguation<TITLE>Model Order Identification for Sense Disambiguation,<TITLE>Model Order Identification for Undefined Sentiment Disambiguation<TITLE>Model Order Identification of Undefined Instances with Mixed Data<TITLE>Model Order Identification for Sense Disambiguation with Mixed Data<TITLE>Model Order Identification for Undefined Instances with Mixed Data<TITLE>Model Order Identification for Sense Disambiguation,<TITLE> Unsupervised and Semi-Supervised Sense Disambiguation Using Label Propagation<TITLE> Unsupervised and Semi-Supervised Sense Disambiguation using Label Propagation<TITLE> Unsupervised Sense Disambiguation Using Label Propagation<TITLE> Semi-Supervised Sense Disambiguation Using Label Propagation<TITLE> Unsupervised and Semi-Supervised Sense Disambiguation via Label Propagation,<TITLE>Model Order Identification for Semi-Supervised and Fully-Supervised Sense Annotation<TITLE>Model Order Identification for Incomplete Semi-Supervised and Fully-Supervised Sense Classification<TITLE>Model Order Identification for Semi-Supervised and Fully-Supervised Sense Parser<TITLE>Model Order Identification for Incomplete Supervised and Semi-Supervised Sense Classification<TITLE>Model Order Identification for Semi-Supervised and Fully-Supervised Sense Classification
2,Hawkes Processes for Continuous Time Sequence Classification: an Application to Rumour Stance Classification in Twitter,"Classification of temporal textual data sequences is a common task in various domains such as social media and the Web. In this paper we propose to use Hawkes Processes for classifying sequences of temporal textual data, which exploit both temporal and textual information. Our experiments on rumour stance classification on four Twitter datasets show the importance of using the temporal information of tweets along with the textual content.",<TITLE>Classifying Temporal Textual Data Using Hawkes Processes<TITLE>Using Hawkes Processes for Temporal Text Classification on Twitter<TITLE>Using Hawkes Processes to Classify Temporal Texts<TITLE>Using Hawkes Processes for Temporal Text Classification<TITLE>Hawkes Processes for Temporal Text Classification,<TITLE>Hawkes Processes for Classifying Temporal Textual Data Using Rumour Stance Classification of Social Media and the World Wide Web<TITLE>Hawkes Processes for Classifying Temporal Textual Data Using Rumour Stance Classification of Social Media and the Web as a<TITLE>Hawkes Processes for Classifying Temporal Textual Data Using Rumour Stance Classification of Social Media and the Web using Haw<TITLE>Hawkes Processes for Classifying Temporal Textual Data Using Rumour Stance Classification of Social Media and the Web as an<TITLE>Hawkes Processes for Classifying Temporal Textual Data Using Rumour Stance Classification of Social Media and the Web's Information,<TITLE>Using Hawkes Processes to Classify Temporal Textual Data Sequences for Twitter Rumour Stance Classification<TITLE>Using Hawkes Processes to Classify Temporal Textual Data Sequences for Rumour Stance Classification<TITLE>Using Hawkes Processes to Classify Temporal Textual Data Sequences of Twitter<TITLE>Using Hawkes Processes to Classify Temporal Textual Data in Social Media<TITLE>Using Hawkes Processes for Classifying Temporal Textual Data Sequences,<TITLE>Hawkes Processes for Classifying Temporal Textual Data Sequences<TITLE>Hawkes Processes for Temporal Textual Data Classification<TITLE>Hawkes Processes for Temporal and Textual Data Classification<TITLE>Hawkes Processes for Temporal Textual Data Classification<TITLE>Hawkes Processes for Classification of Temporal Textual Data,<TITLE> Using Hawkes Processes for Classifying Temporal Textual Data<TITLE> Hawkes Processes for Classifying Temporal Textual Data<TITLE> Hawkes Processes for Temporal Textual Classification<TITLE> Hawkes Processes for Classifying Sequences of Temporal Data<TITLE> Hawkes Processes for Temporal Text Classification,<TITLE>Hawkes Processes for Classification of Temporal Textual Data<TITLE>Hawkes Processes for Temporal Sequence Classification of Twitter Data<TITLE>Hawkes Processes for Classification of Temporal Text Sequences<TITLE>Hawkes Processes for Classification of Temporal Data Sequences<TITLE>Hawkes Processes for Temporal Text Classification
3,Learning Composition Models for Phrase Embeddings,"Lexical embeddings can serve as useful representations for words for a variety of NLP tasks, but learning embeddings for phrases can be challenging. While separate embeddings are learned for each word, this is infeasible for every phrase. We construct phrase embeddings by learning how to compose word embeddings using features that capture phrase structure and context. We propose efficient unsupervised and task-specific learning objectives that scale our model to large datasets. We demonstrate improvements on both language modeling and several phrase semantic similarity tasks with various phrase lengths. We make the implementation of our model and the datasets available for general use.",<TITLE>Learning Phrase Embeddings by Composing Word Representations for NLP<TITLE>Learning Phrase Embeddings by Composing Word Representations with Context<TITLE>Learning Phrase Embeddings by Composing Word Representations<TITLE>Unsupervised Phrase Embeddings for NLP<TITLE>Learning Phrase Embeddings for NLP,<TITLE>Unsupervised Learning of Phrase Embeddings for NLP Tasks using Word Structure and Context from Large Datasets<TITLE>Unsupervised Learning of Phrase Embeddings for NLP Tasks Using Word Structure and Context from Large Datasets<TITLE>Unsupervised Learning of Phrase Embeddings for NLP Tasks using Phrase Structure and Context from Large Datas<TITLE>Unsupervised Learning of Phrase Embeddings for NLP Tasks using Word Structure and Context from Large Dataset<TITLE>Unsupervised Learning of Phrase Embeddings for NLP Tasks with Context-Aware Distributed Representation Learning,<TITLE>Unsupervised Learning of Phrase Embedding Representations<TITLE>Unsupervised Learning of Phrase Embeddings<TITLE>Unsupervised Learning of Phrase Embeddings<TITLE>Unsupervised Learning of Phrase Embeddings<TITLE>Learning to Construct Phrase Embeddings,<TITLE>Learning Word Embeddings for Phrase Structure and Context<TITLE>Learning Phrase Embeddings for NLP Tasks<TITLE>Unsupervised Phrase Embeddings for Words<TITLE>Learning Phrase Embeddings for Words<TITLE>Learning Word Embeddings for Phrases,<TITLE> Unsupervised Learning of Phrase Embeddings<TITLE> Unsupervised Phrase Embeddings<TITLE> Unsupervised Phrase Embedding Learning<TITLE> Learning Phrase Embeddings from Word Embeddings<TITLE> Unsupervised Learning of Phrase Embeddings Using Features,<TITLE>Learning Word Embeddings for Phrase Structure and Context<TITLE>Learning Phrase Embeddings by Compositional Language Modeling<TITLE>Learning Word Embeddings for Phrase-Length Text<TITLE>Learning Phrase Embeddings by Compositional Language Models<TITLE>Learning Phrase Embeddings with Structure and Context
4,Learning Visually Grounded Sentence Representations,"We investigate grounded sentence representations, where we train a sentence encoder to predict the image features of a given caption-i.e., we try to ""imagine"" how a sentence would be depicted visually-and use the resultant features as sentence representations. We examine the quality of the learned representations on a variety of standard sentence representation quality benchmarks, showing improved performance for grounded models over non-grounded ones. In addition, we thoroughly analyze the extent to which grounding contributes to improved performance, and show that the system also learns improved word embeddings.",<TITLE>Grounded Sentence Representations and Improved Word Embeddings<TITLE>Grounded Sentence Representations: An Empirical Study<TITLE>Learning Grounded Sentence Representations<TITLE>Grounded Sentence Representation Learning<TITLE>Grounded Sentence Representations,<TITLE>Grounded Sentence Representations for Grounded Grounding: A Case Study in Non-Grounded Text Representation Quality Est<TITLE>Grounded Sentence Representations for Grounded Grounding: A Case Study in Non-Grounded Text Representation Learning.<TITLE>Grounded Sentence Representations for Grounded Grounding: A Case Study in Non-Grounded Text Representation Quality Evaluation<TITLE>Grounded Sentence Representations for Grounded Grounding: A Case Study in Non-Grounded Text Representation Quality Assessment<TITLE>Grounded Sentence Representations for Grounded Grounding: A Case Study in Non-Grounded Text Representation Quality Measures,<TITLE>Grounded Sentence Representations: An Empirical Comparison of Image Features and Word Embeddings<TITLE>Grounded Sentence Representations: An Empirical Study on Image Features and Word Embeddings<TITLE>Grounded Sentence Representations: A Case Study on Image Features and Word Embeddings<TITLE>Grounded Sentence Representations: An Empirical Investigation<TITLE>Grounded Sentence Representations: An Empirical Study,<TITLE>Structural Sentence Representations Using Sentence Encoding<TITLE>Structural Sentence Representations Using Sentence Coding<TITLE>Structural Sentence Representations: Learning to Predict Image Features<TITLE>Structural Sentence Representations<TITLE>Grounding for Sentence Representations,<TITLE> Learning Grounded Sentence Representations<TITLE> Grounded Sentence Representations for Grounded Visual Reasoning<TITLE> Grounded Sentence Representations for Grounded Image Representation<TITLE> Improving Grounded Sentence Representations with Sentence Features<TITLE> Grounded Sentence Representations for Grounded Caption Generation,<TITLE>Grounded Sentence Representations: An Investigation<TITLE>Grounded Sentence Representations: An Evaluation<TITLE>Learning Grounded Sentence Representations<TITLE>Grounding Sentence Representations<TITLE>Grounded Sentence Representations
5,Learning a Phrase-based Translation Model from Monolingual Data with Application to Domain Adaptation,"Currently, almost all of the statistical machine translation (SMT) models are trained with the parallel corpora in some specific domains. However, when it comes to a language pair or a different domain without any bilingual resources, the traditional SMT loses its power. Recently, some research works study the unsupervised SMT for inducing a simple word-based translation model from the monolingual corpora. It successfully bypasses the constraint of bitext for SMT and obtains a relatively promising result. In this paper, we take a step forward and propose a simple but effective method to induce a phrase-based model from the monolingual corpora given an automatically-induced translation lexicon or a manually-edited translation dictionary. We apply our method for the domain adaptation task and the extensive experiments show that our proposed method can substantially improve the translation quality.",<TITLE>An Unsupervised Method for Domain Adaptation in Statistical Machine Translation<TITLE>An Unsupervised Approach to Domain Adaptation in Statistical Machine Translation<TITLE>An Unsupervised Method for Domain Adaptation in Machine Translation<TITLE>Unsupervised Domain Adaptation of Statistical Machine Translation Models<TITLE>Unsupervised Domain Adaptation for Statistical Machine Translation,<TITLE>Unsupervised SMT Induction of Phrase-Based Translation Models from Monolingual Corpora with Application to Domain Adaptation<TITLE>Unsupervised SMT Induction of Phrase-Based Translation Models from Monolingual Corpora with Application to Domain Adapt<TITLE>Unsupervised SMT Induction of Phrase-Based Translation Models from Monolingual Corpora for Domain Adaptation in<TITLE>Unsupervised SMT Induction of Phrase-Based Translation Models from Monolingual Corpora for Domain Adaptation with<TITLE>Unsupervised SMT Induction of Phrase-based Translation Models from Monolingual Corpora for Domain Adaptation in,<TITLE>Unsupervised Unfolding of Phrase-based Translation Model for Domain Adaptation<TITLE>Domain Adaptation of Statistical Machine Translation with Monolingual Corpora<TITLE>Domain Adaptation for Statistical Machine Translation with Monolingual Corpora<TITLE>Domain Adaptation of Statistical Machine Translation Using Unsupervised SMT<TITLE>Domain Adaptation of Statistical Machine Translation using Unsupervised SMT,<TITLE>Inducing a Simple Word-Based Translation Model from the Monolingual Corpora<TITLE>Inducing a Phrase-Based Translation Model from the Monolingual Corpora<TITLE>Inducing a Simple Word-Based Translation Model from the Monolingual corpora<TITLE>Inducing a Simple Word-Based Translation Model from Monolingual Corpora<TITLE>Inducing a Phrase-Based Translation Model from Monolingual Corpora,<TITLE> Unsupervised Phrase-Based Translation Model for Domain Adaptation<TITLE> Unsupervised Phrase-Based Translation Model From Monolingual Corpora<TITLE> Unsupervised Phrase-Based Translation Model<TITLE> Unsupervised Phrase-Based Translation Model Using Monolingual Corpora<TITLE> Unsupervised Phrase-Based Translation Model for Unsupervised Machine Translation,<TITLE>Unsupervised Phrase-Based Translation Model from the Monolingual Corpora<TITLE>Unsupervised Phrase-Based Translation Model from Monolingual Corpora<TITLE>Unsupervised Statistical Machine Translation from Monolingual Corpora for Domain Adaptation<TITLE>Unsupervised Statistical Machine Translation from Monolingual Corpora<TITLE>Improving Statistical Machine Translation with Monolingual Corpora
6,Generating Interactive Worlds with Text,"Procedurally generating cohesive and interesting game environments is challenging and time-consuming. In order for the relationships between the game elements to be natural, common-sense has to be encoded into arrangement of the elements. In this work, we investigate a machine learning approach for world creation using content from the multiplayer text adventure game environment LIGHT (Urbanek et al. 2019). We introduce neural network based models to compositionally arrange locations, characters, and objects into a coherent whole. In addition to creating worlds based on existing elements, our models can generate new game content. Humans can also leverage our models to interactively aid in worldbuilding. We show that the game environments created with our approach are cohesive, diverse, and preferred by human evaluators compared to other machine learning based world construction algorithms.",<TITLE>Learning to Generate Cohesive and Efficient Games using Content from Online Games<TITLE>Towards Cohesive and Efficient World Construction in Text-Adventure Games<TITLE>Towards Cohesive and Efficient World Construction in Online Games<TITLE>Learning to Generate Cohesive and Efficient Games from Online Games<TITLE>Towards Cohesive and Efficient World Construction in Text Games,<TITLE>Learning to Generate Cohesive Games Using Neural Network-based Content from the Online World-Building Task in Multi-player Text<TITLE>Learning to Generate Cohesive Games Using Neural Network-based Content from the Online World-Building Game Environment in Multi-player<TITLE>Learning to Generate Cohesive Games Using Neural Network-based Content from the Online World-Building Task in Multi-Agent Game<TITLE>Learning to Generate Cohesive Games Using Neural Network-based Content from the Online World-Building Task in Multi-Game En<TITLE>Learning to Generate Cohesive Games Using Neural Network-based Content from the Online World-Building Task in Multi-player Game,<TITLE>Creating Cohesive and Diverse Game Environments with Neural Networks<TITLE>Creating Cohesive and Diverse Game Environments using Neural Networks<TITLE>Creating Cohesive and Diverse Game Environments Using Neural Networks<TITLE>Creating Cohesive and Interesting Game Environments with Neural Networks<TITLE>Neural World Construction with LIGHT,<TITLE>Machine Learning for World Creation using Multiplayer Text Adventure Game Environments<TITLE>A Machine Learning Approach for World Creation using Multiplayer Text Adventure Games<TITLE>Machine Learning for World Creation using Multiplayer Text Adventure Games<TITLE>A Machine Learning Approach for World Creation<TITLE>A Machine Learning Approach to World Creation,<TITLE> Cohesive and Interesting World Creation Using Neural Networks<TITLE> Compositional World Creation Using Neural Networks<TITLE> Compositional World Creation Using Content Representation<TITLE> World Creation Using Content Representation<TITLE> Compositional World Creation Using Content Representations,<TITLE>Multiplayer Text Adventure Games with Compositional Neural Networks<TITLE>Multiplayer Text Adventure Game Environment Creation with Neural Networks<TITLE>Multiplayer Text Adventure Game Environment Creation with Neural Network<TITLE>Multiplayer Text Adventure World Creation with Neural Networks<TITLE>Neural World Construction for Text Adventure Games
7,Synthetic and Natural Noise Both Break Neural Machine Translation,"Character-based neural machine translation (NMT) models alleviate out-ofvocabulary issues, learn morphology, and move us closer to completely end-toend translation systems. Unfortunately, they are also very brittle and easily falter when presented with noisy data. In this paper, we confront NMT models with synthetic and natural sources of noise. We find that state-of-the-art models fail to translate even moderately noisy texts that humans have no trouble comprehending. We explore two approaches to increase model robustness: structure-invariant word representations and robust training on noisy texts. We find that a model based on a character convolutional neural network is able to simultaneously learn representations robust to multiple kinds of noise.",<TITLE>Character-Based Neural Machine Translation with Noisy Texts<TITLE>Character-based Neural Machine Translation with Noisy Texts<TITLE>Character-Based Neural Machine Translation with Synthetic Noise<TITLE>Character-Based Neural Machine Translation with Noisy Data<TITLE>Character-Based Neural Machine Translation with Noise,"<TITLE>Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise: A Case Study on Noisy Texts in N<TITLE>Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise: A Case Study on Noisy Texts, Out<TITLE>Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise: A Case Study on Noisy Texts in English<TITLE>Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise: A Case Study on Noisy Texts, Structure<TITLE>Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise: A Case Study on Noisy Texts in the",<TITLE>Robust Neural Machine Translation with Synthetic and Natural Sources of Noisy Data<TITLE>Robust Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise<TITLE>Robust Neural Machine Translation with Synthetic and Natural Sources of Noise<TITLE>Robust Neural Machine Translation with Synthetic and Natural Noise<TITLE>Robust Neural Machine Translation with Noisy Texts,<TITLE>Robust Character-Based Neural Machine Translation<TITLE>Strong Character-Based Neural Machine Translation Models<TITLE>Robust Neural Machine Translation Models<TITLE>Strong Character-Based Neural Machine Translation<TITLE>Character-Based Neural Machine Translation,<TITLE> Character-based Neural Machine Translation with Natural Sources of Noise<TITLE> Character-Based Neural Machine Translation with Natural Sources of Noise<TITLE> Robust Character-Based Neural Machine Translation<TITLE> Robust Character-based Neural Machine Translation<TITLE> Character-based Neural Machine Translation,<TITLE>Character-Based Neural Machine Translation Fails to Translate Noisy Texts<TITLE>Character-Based Neural Machine Translation Fails to Translate Even moderately noisy texts<TITLE>Character-based Neural Machine Translation Fails to Translate Even moderately noisy texts<TITLE>Robust Neural Machine Translation with Synthetic and Natural Sources of Noise<TITLE>Robust Neural Machine Translation with Synthetic and Natural Noise Sources
8,On the Universality of Online Mirror Descent,"We show that for a general class of convex online learning problems, Mirror Descent can always achieve a (nearly) optimal regret guarantee.",<TITLE>Optimal Regret Guarantees for Mirror Descent<TITLE>Optimal Regret Guarantees for Online Learning Problems<TITLE>Optimal Regret Guarantees in Mirror Descent<TITLE>Optimal Regret Guarantees for Online Learning<TITLE>Optimal Regret Guarantees in Online Learning,<TITLE>Online Mirror Descent: Almost Optimal Regret Guarantee Guarantees for Convex Online Learning with Limited Supervision.<TITLE>Online Mirror Descent: Almost Optimal Regret Guarantee Guarantees for Convex Online Learning with Application to Reinforcement<TITLE>Online Mirror Descent: Almost Optimal Regret Guarantee Guarantees for Convex Online Learning with Limited Reinforcement Learning<TITLE>Online Mirror Descent: Almost Optimal Regret Guarantee Guarantees for Convex Online Learning with Limited Supervision and<TITLE>Online Mirror Descent: Almost Optimal Regret Guarantee Guarantees for Convex Online Learning with Limited Reinforcement.,<TITLE>Optimal Regret Guarantees for Mirror Descent<TITLE>Optimal Regret Guarantees for Mirror Descent Problems<TITLE>Optimal Regret Guarantee for Mirror Descent<TITLE>Optimal Regret Guarantees for Mirror Descent<TITLE>Optimal Regret Guarantee for Mirror Descent,<TITLE>Mirror Descent: An Online Class of Convex Learning Problems<TITLE>Mirror Descent: An Online Learning Problem for Convex Online Learning<TITLE>Mirror Descent: Optimal Regret Guarantee for Online Learning<TITLE>Mirror Descent: A General Class of Convex Online Learning<TITLE>Mirror Descent: A General Class of Online Learning Problems,<TITLE> Optimal Regret Guarantees for Mirror Descent<TITLE> Optimal Regret Guarantee for Mirror Descent<TITLE> Monte Carlo Online Learning with Mirror Descent<TITLE> Online Learning with Mirror Descent<TITLE> On Mirror Descent,<TITLE>Mirror Descent can always achieve an optimal regret guarantee<TITLE>Nearly Optimal Regret Guarantees for Online Learning Problems<TITLE>Nearly Optimal Regret Guarantees for Mirror Descent<TITLE>Nearly Optimal Regret Guarantees for Online Learning<TITLE>Optimal Regret Guarantees for Mirror Descent
9,Regularization of Neural Networks using DropConnect,"We introduce DropConnect, a generalization of Dropout (Hinton et al., 2012), for regularizing large fully-connected layers within neural networks. When training with Dropout, a randomly selected subset of activations are set to zero within each layer. DropConnect instead sets a randomly selected subset of weights within the network to zero. Each unit thus receives input from a random subset of units in the previous layer. We derive a bound on the generalization performance of both Dropout and DropConnect. We then evaluate DropConnect on a range of datasets, comparing to Dropout, and show state-of-the-art results on several image recognition benchmarks by aggregating multiple DropConnect-trained models.",<TITLE>DropConnect: A Generalization of Dropout for Regularizing Neural Networks<TITLE>DropConnect: A Generalization of Dropout for Regularizing Deep Networks<TITLE>DropConnect: A Generalization of Dropout for Deep Neural Networks<TITLE>DropConnect: A Generalization of Dropout for Neural Networks<TITLE>DropConnect: A Generalization of Dropout in Neural Networks,<TITLE>DropConnect: Regularizing Fully-Connected Networks via Randomized Subset Selection and Multiple Drop-Connecting Data Aggregation<TITLE>DropConnect: Regularizing Fully-Connected Networks via Randomized Subset Selection and Multiple Drop-Connecting Data for Image<TITLE>DropConnect: Regularizing Fully-Connected Networks via Randomized Subset Selection and Multiple Drop-Connecting Data for Classification<TITLE>DropConnect: Regularizing Fully-Connected Networks via Randomized Subset Selection and Multiple Drop-Connecting Data for General<TITLE>DropConnect: Regularizing Fully-Connected Networks via Randomized Subset Selection and Multiple Drop-Connecting Data for 3,<TITLE>DropConnect: A Generalization of Dropout for Fully-Connected Neural Networks<TITLE>DropConnect: A Generalization of Dropout for Fully-Connected Networks<TITLE>DropConnect: A Generalization of Dropout<TITLE>DropConnect: A Generalization of Dropout<TITLE>DropConnect: A Generalization of Dropout,<TITLE>DropConnect: A Generalization of Dropout in Neural Networks<TITLE>DropConnect: Regularizing Large Fully-Connected Layers<TITLE>DropConnect: a Generalization of Dropout<TITLE>DropConnect: A Generalization of Dropout<TITLE>DropConnect: Generalization of Dropout,<TITLE> DropConnect: Regularizing Fully-Connected Neural Networks<TITLE> DropConnect: Regularizing Fully-Connected Networks<TITLE> DropConnect: Regularizing Fully-Connected Deep Networks<TITLE> DropConnect: A Generalization of Dropout<TITLE> DropConnect: Regularizing Deep Neural Networks,<TITLE>Dropout Meets DropConnect: Regularizing Fully-Connected Neural Networks<TITLE>Dropout Meets DropConnect: Regularizing Large-Scale Neural Networks<TITLE>Dropout Meets DropConnect: Regularizing Fully-Connected Networks<TITLE>DropConnect: Regularizing Fully-Connected Neural Networks<TITLE>DropConnect: Regularizing Fully-Connected Networks
