,0,1,2,3,4,5,6
0,Learning Explicit Latent Semantic Annotations from Structured Tables and Texts bart_base,Learning Latent Semantic Annotations for Grounding Natural Language to Structured Data,Grounded Language Learning with Latent Semantic Annotation bart_xsum,Learning Exact Latent Semantics from paired Structured Tables and Texts t5_small,Learning Explicit Latent Semantic Annotations for Grounded Language Learning pegasus_xsum, Latent Semantic Annotations for Grounded Language Learning gpt2,"Previous work on grounded language learning did not fully capture the semantics underlying the correspondences between structured world state representations and texts, especially those between numerical values and lexical terms. In this paper, we attempt at learning explicit latent semantic annotations from paired structured tables and texts, establishing correspondences between various types of values and texts. We model the joint probability of data fields, texts, phrasal spans, and latent annotations with an adapted semi-hidden Markov model, and impose a soft statistical constraint to further improve the performance. As a by-product, we leverage the induced annotations to extract templates for language generation. Experimental results suggest the feasibility of the setting in this study, as well as the effectiveness of our proposed framework."
1,Semi-Supervised and Semi-supervised Sense Disambiguation using Label Propagation and Clustering Based bart_cnn,Supervised and Semi-Supervised Sense Disambiguation Using Model Order Identification bart_base,Model Order Identification for Sense Disambiguation with Mixed Data bart_xsum,Partially Supervised Sense Disambiguation by Learning Sense Number from Tagged and Untagged Corpora,Model Order Identification for Undefined Sentiment Disambiguation t5_small,Model Order Identification for Semi-Supervised and Fully-Supervised Sense Annotation pegasus_xsum,"Supervised and semi-supervised sense disambiguation methods will mis-tag the instances of a target word if the senses of these instances are not defined in sense inventories or there are no tagged instances for these senses in training data. Here we used a model order identification method to avoid the misclassification of the instances with undefined senses by discovering new senses from mixed data (tagged and untagged corpora). This algorithm tries to obtain a natural partition of the mixed data by maximizing a stability criterion defined on the classification result from an extended label propagation algorithm over all the possible values of the number of senses (or sense number, model order). Experimental results on SENSEVAL-3 data indicate that it outperforms SVM, a one-class partially supervised classification algorithm, and a clustering based model order identification algorithm when the tagged data is incomplete."
2,Hawkes Processes for Classifying Temporal Textual Data Using Rumour Stance Classification of Social Media and the World Wide Web bart_cnn,Using Hawkes Processes to Classify Temporal Textual Data Sequences for Twitter Rumour Stance Classification bart_xsum,Hawkes Processes for Classifying Temporal Textual Data Sequences t5_small,Classifying Temporal Textual Data Using Hawkes Processes bart_base,Hawkes Processes for Classification of Temporal Textual Data pegasus_xsum,Hawkes Processes for Continuous Time Sequence Classification: an Application to Rumour Stance Classification in Twitter,"Classification of temporal textual data sequences is a common task in various domains such as social media and the Web. In this paper we propose to use Hawkes Processes for classifying sequences of temporal textual data, which exploit both temporal and textual information. Our experiments on rumour stance classification on four Twitter datasets show the importance of using the temporal information of tweets along with the textual content."
3,Learning Phrase Embeddings by Composing Word Representations for NLP bart_base,Learning Composition Models for Phrase Embeddings,Learning Word Embeddings for Phrase Structure and Context pegasus_xsum, Unsupervised Learning of Phrase Embeddings gpt2,Unsupervised Learning of Phrase Embeddings for NLP Tasks using Word Structure and Context from Large Datasets bart_cnn,Unsupervised Learning of Phrase Embedding Representations bart_xsum,"Lexical embeddings can serve as useful representations for words for a variety of NLP tasks, but learning embeddings for phrases can be challenging. While separate embeddings are learned for each word, this is infeasible for every phrase. We construct phrase embeddings by learning how to compose word embeddings using features that capture phrase structure and context. We propose efficient unsupervised and task-specific learning objectives that scale our model to large datasets. We demonstrate improvements on both language modeling and several phrase semantic similarity tasks with various phrase lengths. We make the implementation of our model and the datasets available for general use."
4,Learning Visually Grounded Sentence Representations,Grounded Sentence Representations and Improved Word Embeddings bart_base, Learning Grounded Sentence Representations gpt2,Grounded Sentence Representations: An Empirical Comparison of Image Features and Word Embeddings bart_xsum,Structural Sentence Representations Using Sentence Encoding t5_small,Grounded Sentence Representations: An Investigation pegasus_xsum,"We investigate grounded sentence representations, where we train a sentence encoder to predict the image features of a given caption-i.e., we try to ""imagine"" how a sentence would be depicted visually-and use the resultant features as sentence representations. We examine the quality of the learned representations on a variety of standard sentence representation quality benchmarks, showing improved performance for grounded models over non-grounded ones. In addition, we thoroughly analyze the extent to which grounding contributes to improved performance, and show that the system also learns improved word embeddings."
5,Unsupervised Unfolding of Phrase-based Translation Model for Domain Adaptation bart_xsum,Unsupervised SMT Induction of Phrase-Based Translation Models from Monolingual Corpora with Application to Domain Adaptation bart_cnn,An Unsupervised Method for Domain Adaptation in Statistical Machine Translation bart_base, Unsupervised Phrase-Based Translation Model for Domain Adaptation gpt2,Learning a Phrase-based Translation Model from Monolingual Data with Application to Domain Adaptation,Inducing a Simple Word-Based Translation Model from the Monolingual Corpora t5_small,"Currently, almost all of the statistical machine translation (SMT) models are trained with the parallel corpora in some specific domains. However, when it comes to a language pair or a different domain without any bilingual resources, the traditional SMT loses its power. Recently, some research works study the unsupervised SMT for inducing a simple word-based translation model from the monolingual corpora. It successfully bypasses the constraint of bitext for SMT and obtains a relatively promising result. In this paper, we take a step forward and propose a simple but effective method to induce a phrase-based model from the monolingual corpora given an automatically-induced translation lexicon or a manually-edited translation dictionary. We apply our method for the domain adaptation task and the extensive experiments show that our proposed method can substantially improve the translation quality."
6,Learning to Generate Cohesive and Efficient Games using Content from Online Games bart_base,Generating Interactive Worlds with Text,Multiplayer Text Adventure Games with Compositional Neural Networks pegasus_xsum, Cohesive and Interesting World Creation Using Neural Networks gpt2,Machine Learning for World Creation using Multiplayer Text Adventure Game Environments t5_small,Learning to Generate Cohesive Games Using Neural Network-based Content from the Online World-Building Task in Multi-player Text bart_cnn,"Procedurally generating cohesive and interesting game environments is challenging and time-consuming. In order for the relationships between the game elements to be natural, common-sense has to be encoded into arrangement of the elements. In this work, we investigate a machine learning approach for world creation using content from the multiplayer text adventure game environment LIGHT (Urbanek et al. 2019). We introduce neural network based models to compositionally arrange locations, characters, and objects into a coherent whole. In addition to creating worlds based on existing elements, our models can generate new game content. Humans can also leverage our models to interactively aid in worldbuilding. We show that the game environments created with our approach are cohesive, diverse, and preferred by human evaluators compared to other machine learning based world construction algorithms."
7,Synthetic and Natural Noise Both Break Neural Machine Translation,Robust Character-Based Neural Machine Translation t5_small,Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise: A Case Study on Noisy Texts in N bart_cnn,Character-Based Neural Machine Translation Fails to Translate Noisy Texts pegasus_xsum,Character-Based Neural Machine Translation with Noisy Texts bart_base,Robust Neural Machine Translation with Synthetic and Natural Sources of Noisy Data bart_xsum,"Character-based neural machine translation (NMT) models alleviate out-ofvocabulary issues, learn morphology, and move us closer to completely end-toend translation systems. Unfortunately, they are also very brittle and easily falter when presented with noisy data. In this paper, we confront NMT models with synthetic and natural sources of noise. We find that state-of-the-art models fail to translate even moderately noisy texts that humans have no trouble comprehending. We explore two approaches to increase model robustness: structure-invariant word representations and robust training on noisy texts. We find that a model based on a character convolutional neural network is able to simultaneously learn representations robust to multiple kinds of noise."
8,On the Universality of Online Mirror Descent,Optimal Regret Guarantees for Mirror Descent bart_xsum,Mirror Descent can always achieve an optimal regret guarantee pegasus_xsum,Optimal Regret Guarantees for Mirror Descent bart_base,Online Mirror Descent: Almost Optimal Regret Guarantee Guarantees for Convex Online Learning with Limited Supervision. bart_cnn, Optimal Regret Guarantees for Mirror Descent gpt2,"We show that for a general class of convex online learning problems, Mirror Descent can always achieve a (nearly) optimal regret guarantee."
9,Dropout Meets DropConnect: Regularizing Fully-Connected Neural Networks pegasus_xsum,DropConnect: Regularizing Fully-Connected Networks via Randomized Subset Selection and Multiple Drop-Connecting Data Aggregation bart_cnn,DropConnect: A Generalization of Dropout for Regularizing Neural Networks bart_base,DropConnect: A Generalization of Dropout in Neural Networks t5_small,Regularization of Neural Networks using DropConnect,DropConnect: A Generalization of Dropout for Fully-Connected Neural Networks bart_xsum,"We introduce DropConnect, a generalization of Dropout (Hinton et al., 2012), for regularizing large fully-connected layers within neural networks. When training with Dropout, a randomly selected subset of activations are set to zero within each layer. DropConnect instead sets a randomly selected subset of weights within the network to zero. Each unit thus receives input from a random subset of units in the previous layer. We derive a bound on the generalization performance of both Dropout and DropConnect. We then evaluate DropConnect on a range of datasets, comparing to Dropout, and show state-of-the-art results on several image recognition benchmarks by aggregating multiple DropConnect-trained models."
