,abstract,title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
0,"Leveraging user-provided translation to constrain NMT has practical significance. Existing methods can be classified into two main categories, namely the use of placeholder tags for lexicon words and the use of hard constraints during decoding. Both methods can hurt translation fidelity for various reasons. We investigate a data augmentation method, making code-switched training data by replacing source phrases with their target translations. Our method does not change the MNT model or decoding algorithm, allowing the model to learn lexicon translations by copying source-side target words. Extensive experiments show that our method achieves consistent improvements over existing approaches, improving translation of constrained words without hurting unconstrained words.",Code-Switching for Enhancing NMT with Pre-Specified Translation,,Data Augmentation for Neural Machine Translation with Hard Lexicon Constraints and Source-side Target Words Using Code-Switched,Improving Neural Machine Translation with Source-side Data Augmentation,Leveraging User-provided Translation to Constrained Neural Words, Data Augmentation for Constrained NMT,Data Augmentation for Constraint-Free Translation of Lexicon Words
1,This paper presents three hybrid models that directly combine latent Dirichlet allocation and word embedding for distinguishing between speakers with and without Alzheimer's disease from transcripts of picture descriptions. Two of our models get F-scores over the current state-of-the-art using automatic methods on the DementiaBank dataset.,Augmenting word2vec with latent Dirichlet allocation within a clinical application,Latent Dirichlet Allocation and Word Embedding for Detecting Alzheimer's Disease from Transcripts of Descriptions,,Hybrid Word Embeddings and Latent Dirichlet Allocation for Alzheimer's Disease Detection,Combining Latent Dirichlet allocation and word embedding for distinguishing speakers with and without Alzheimer's disease, Combining Latent Dirichlet Allocation and Word Embedding for Detecting Alzheimer's,Latent Dirichlet Allocation and Word Embedding for Alzheimer's Disease Recognition
2,Binarization of grammars is crucial for improving the complexity and performance of parsing and translation. We present a versatile binarization algorithm that can be tailored to a number of grammar formalisms by simply varying a formal parameter. We apply our algorithm to binarizing tree-to-string transducers used in syntax-based machine translation.,General binarization for parsing and translation,Binarization of Grammars for Syntax-Based Machine Translation,Binarization of Grammars for Statistical Machine Translation using Tree-to-String Transducers and its Application to Binar,A Versatile Algorithm for Binarizing Tree-to-String Transducers,Binarization of Grammatical Formalisms,,A Versatile Binarization Algorithm for Parsing and Machine Translation
3,"Distant-supervised relation extraction inevitably suffers from wrong labeling problems because it heuristically labels relational facts with knowledge bases. Previous sentence level denoise models don't achieve satisfying performances because they use hard labels which are determined by distant supervision and immutable during training. To this end, we introduce an entity-pair level denoise method which exploits semantic information from correctly labeled entity pairs to correct wrong labels dynamically during training. We propose a joint score function which combines the relational scores based on the entity-pair representation and the confidence of the hard label to obtain a new label, namely a soft label, for certain entity pair. During training, soft labels instead of hard labels serve as gold labels. Experiments on the benchmark dataset show that our method dramatically reduces noisy instances and outperforms other state-of-the-art systems.",A Soft-label Method for Noise-tolerant Distantly Supervised Relation Extraction,Entity-Pair Level Denoise for Distant-Supervised Relation Extraction,Entity-Pair Level Denoise for Distant-Supervised Relation Extraction with Soft Label Combination and Joint Score Function,,Entity-Pair Level Denoise for Distant-Supervised Relation Extraction, Entity-pair Level Denoising for Relation Extraction,Entity-Pair Level Denoise for Distant Relation Extraction
4,"We show that it is feasible to perform entity linking by training a dual encoder (two-tower) model that encodes mentions and entities in the same dense vector space, where candidate entities are retrieved by approximate nearest neighbor search. Unlike prior work, this setup does not rely on an alias table followed by a re-ranker, and is thus the first fully learned entity retrieval model. We show that our dual encoder, trained using only anchor-text links in Wikipedia, outperforms discrete alias table and BM25 baselines, and is competitive with the best comparable results on the standard TACKBP-2010 dataset. In addition, it can retrieve candidates extremely fast, and generalizes well to a new dataset derived from Wikinews. On the modeling side, we demonstrate the dramatic value of an unsupervised negative mining algorithm for this task.",Learning Dense Representations for Entity Retrieval,,Dual Encoders for Entity Linking in Dense Two-Towered Datasets: An Unsupervised Negative Mining,Entity Linking via Dual Encoding and Zero-Rank Re-ranking,Learning Entity Linking with Dual Encoders, Unsupervised Entity Linking via Dual Encoders,Entity Linking with a Dual Parser
5,"Are word-level affect lexicons useful in detecting emotions at sentence level? Some prior research finds no gain over and above what is obtained with ngram features—arguably the most widely used features in text classification. Here, we experiment with two very different emotion lexicons and show that even in supervised settings, an affect lexicon can provide significant gains. We further show that while ngram features tend to be accurate, they are often unsuitable for use in new domains. On the other hand, affect lexicon features tend to generalize and produce better results than ngrams when applied to a new domain.",Portable Features for Classifying Emotional Text,Are Affect Lexicons Useful for Sentence Level Emotion Detection?,Are Word-Level Affect Lexicons Useful in Detecting Emotional Sentences at Sentence Level? A Case Study on Text Classification,Are Affect Lexicons useful for detecting emotions at sentence level?,Affect Lexicons for Word-Level Emotions Detection,,Are Word-Level Affect Lexicons Useful for Detecting Emotions in Text?
6,"Relation extraction suffers from a performance loss when a model is applied to out-of-domain data. This has fostered the development of domain adaptation techniques for relation extraction. This paper evaluates word embeddings and clustering on adapting feature-based relation extraction systems. We systematically explore various ways to apply word embeddings and show the best adaptation improvement by combining word cluster and word embedding information. Finally, we demonstrate the effectiveness of regularization for the adaptability of relation extractors.",Employing Word Representations and Regularization for Domain Adaptation of Relation Extraction,Domain Adaptation for Relation Extraction Using Word Embeddings and Word Clustering,,Domain Adaptation of Feature-based Relation Extraction with Word Embeddings and Clustering,Word Embeddings and Clustering for Relative Extraction, Adapting Word Embeddings and Clustering for Out-of-Domain Relation Extraction,Adapting Feature-Based Relation Extraction Systems with Word Embeddings and Clustering
7,"Many natural language processing applications use language models to generate text. These models are typically trained to predict the next word in a sequence, given the previous words and some context such as an image. However, at test time the model is expected to generate the entire sequence from scratch. This discrepancy makes generation brittle, as errors may accumulate along the way. We address this issue by proposing a novel sequence level training algorithm that directly optimizes the metric used at test time, such as BLEU or ROUGE. On three different tasks, our approach outperforms several strong baselines for greedy generation. The method is also competitive when these baselines employ beam search, while being several times faster.",Sequence Level Training with Recurrent Neural Networks,Sequence Level Training for Greedy Generation of Text,Towards a Sequence Level Training Algorithm for Greedy Generation of Natural Language Texts using Beam Search and BLEU,A Sequence Level Training Algorithm for Greedy Text Generation,, Sequence Level Training for Natural Language Generation,Sequence Level Training for Generative Adversarial Learning
8,"In multi-task learning (MTL), multiple tasks are learnt jointly. A major assumption for this paradigm is that all those tasks are indeed related so that the joint training is appropriate and beneficial. In this paper, we study the problem of multi-task learning of shared feature representations among tasks, while simultaneously determining “with whom” each task should share. We formulate the problem as a mixed integer programming and provide an alternating minimization technique to solve the optimization problem of jointly identifying grouping structures and parameters. The algorithm monotonically decreases the objective function and converges to a local optimum. Compared to the standard MTL paradigm where all tasks are in a single group, our algorithm improves its performance with statistical significance for three out of the four datasets we have studied. We also demonstrate its advantage over other task grouping techniques investigated in literature.",Learning with Whom to Share in Multi-task Feature Learning.,Multi-Task Learning of Shared Feature Representations with Alternating Minimization,Multi-task Learning of Shared Feature Representations among Tasks: A Mixed Integer Programming Algorithm and Alternating Minimization,Mixed Integer Programming for Joint Multi-Task Learning of Shared Feature Representations,Joint Multi-Task Learning of Shared Feature Representations, Multi-Task Learning of Shared Feature Representations,
9,"We propose sparsemax, a new activation function similar to the traditional softmax, but able to output sparse probabilities. After deriving its properties, we show how its Jacobian can be efficiently computed, enabling its use in a network trained with backpropagation. Then, we propose a new smooth and convex loss function which is the sparsemax analogue of the logistic loss. We reveal an unexpected connection between this new loss and the Huber classification loss. We obtain promising empirical results in multi-label classification problems and in attention-based neural networks for natural language inference. For the latter, we achieve a similar performance as the traditional softmax, but with a selective, more compact, attention focus.",From Softmax to Sparsemax: A Sparse Model of Attention and Multi-Label Classification,,Sparsemax: Sparsemax for Natural Language Inference with Jacobian and Attention-based Neural Networks in Backpropag,Sparsemax: Sparse activation with smooth and convex loss.,Sparsemax: A Segmentation Function for Multi-Label Classification, SparseMax: A Sparse Activation Function for Neural Networks,Sparsemax and Smoothed Convex Loss for Neural Networks
