,abstract,title,bart_base,bart_cnn,bart_xsum,t5,gpt2,pegasus_xsum
0,"As a crucial step in extractive document summarization, learning cross-sentence relations has been explored by a plethora of approaches. An intuitive way is to put them in the graph-based neural network, which has a more complex structure for capturing inter-sentence relationships. In this paper, we present a heterogeneous graph-based neural network for extractive summarization (HETERSUMGRAPH), which contains semantic nodes of different granularity levels apart from sentences. These additional nodes act as the intermediary between sentences and enrich the cross-sentence relations. Besides, our graph structure is flexible in natural extension from a single-document setting to multi-document via introducing document nodes. To our knowledge, we are the first one to introduce different types of nodes into graph-based neural networks for extractive document summarization and perform a comprehensive qualitative analysis to investigate their benefits. The code will be released on Github.",Heterogeneous Graph Neural Networks for Extractive Document Summarization<original>,<TITLE>Heterogeneous Graph-based Neural Network for Extractive Document Summarization<TITLE>Heterogeneous Graph-based Neural Networks for Extractive Document Summarization<TITLE>Heterogeneous Graph-Based Neural Network for Extractive Document Summarization<TITLE>Heterogeneous Graph-Based Neural Networks for Extractive Document Summarization<TITLE>Graph-based Neural Network for Extractive Document Summarization<bart_base>,<TITLE>HETERSUMGRAPH: Heterogeneous Graph-based Neural Network for Extractive Document Summarization with Cross-<TITLE>HETERSUMGRAPH: Heterogeneous Graph-based Neural Network for Extractive Document Summarization with Cross-Sent<TITLE>HETERSUMGRAPH: A Heterogeneous Graph-based Neural Network for Extractive Document Summarization with Cross<TITLE>HETERSUMGRAPH: Heterogeneous Graph-based Neural Network for Extractive Document Summarization with Cross-Sentence<TITLE>HETERSUMGRAPH: A Heterogeneous Graph-based Neural Network for Extractive Document Summarization with Cross-<bart_cnn>,<TITLE>HETERSUMGRAPH: A Heterogeneous Graph-based Neural Network for Extractive Document Summarization<TITLE>HETERSUMGRAPH: A Heterogeneous Graph-Based Neural Network for Extractive Document Summarization<TITLE>HETERSUMGRAPH: A Heterogeneous Graph-based Neural Network for Extractive Document Summarization<TITLE>HETERSUMGRAPH: A Heterogeneous Graph-Based Neural Network for Extractive Document Summarization<TITLE>HETERSUMGRAPH: A Heterogeneous Graph-based Neural Network for Extractive Document Summarization<bart_xsum>,<TITLE>Heterogeneous Graph-Based Neural Network for Extractive Document Summarization<TITLE>Heterogeneous Graph-based Neural Network for Extractive Document Summarization<TITLE>Heterogeneous Graph-Based Neural Networks for Extractive Document Summary<TITLE>Heterogeneous Graph-Based Neural Network for Extractive Document Summary<TITLE>Graph-Based Neural Networks for Extractive Document Summarization<t5_small>,<TITLE> Heterogeneous Graph-based Neural Network for Extractive Document Summarization<TITLE> Heterogeneous Graph-based Neural Network for Extractive Summarization<TITLE> Heterogeneous Graph-based Neural Networks for Extractive Document Summarization<TITLE> Heterogeneous Graph-Based Neural Network for Extractive Document Summarization<TITLE> Heterogeneous Graph-Based Neural Network for Extractive Summarization<gpt2>,<TITLE>Heterogeneous Graph-based Neural Network for Extractive Document Summarization<TITLE>Heterogeneous Graph-Based Neural Network for Extractive Document Summarization<TITLE>Heterogeneous Graph-based Neural Networks for Extractive Document Summarization<TITLE>Heterogeneous Graph-Based Neural Networks for Extractive Document Summarization<TITLE>Heterogeneous Graph-based Neural Network for Extractive Document Segmentation<pegasus_xsum>
1,"Activities and events in our lives are structural, be it a vacation, a camping trip, or a wedding. While individual details vary, there are characteristic patterns that are specific to each of these scenarios. For example, a wedding typically consists of a sequence of events such as walking down the aisle, exchanging vows, and dancing. In this paper, we present a data-driven approach to learning event knowledge from a large collection of photo albums. We formulate the task as constrained optimization to induce the prototypical temporal structure of an event, integrating both visual and textual cues. Comprehensive evaluation demonstrates that it is possible to learn multimodal knowledge of event structure from noisy web content.",Learning Prototypical Event Structure from Photo Albums<original>,<TITLE>Learning Multimodal Event Structure from Noisy Web Content<TITLE>Learning Multimodal Event Structure from Noisy Photographs<TITLE>Learning Multimodal Event Structure from Photo Albums<TITLE>Learning Multimodal Knowledge of Events from Photographs<TITLE>Learning Multimodal Event Structure from Photographs<bart_base>,<TITLE>Learning Event Knowledge from Noisy Web Content using Prototypical Temporality Constrained Optimization and Data-Driven<TITLE>Learning Event Knowledge from Noisy Web Content using Prototypical Temporality Constrained Optimization and Data-driven Learning<TITLE>Learning Event Knowledge from Noisy Web Content using Prototypical Temporality Constrained Optimization in Photograph Albums.<TITLE>Learning Event Knowledge from Noisy Web Content using Prototypical Temporality Constrained Optimization in Photo Albums.<TITLE>Learning Event Knowledge from Noisy Web Content using Prototypical Temporality Constrained Optimization and Data-driven Struct<bart_cnn>,<TITLE>Learning Temporally Structured Events from Large-Scale Photo Albums<TITLE>Learning Temporally Structured Event Structure from Large-Scale Photographs<TITLE>Learning Temporally Structured Event Structure from Large-Scale Photograph Collection<TITLE>Learning Temporally Structured Event Structure from Large-Scale Photograph Collections<TITLE>Learning Temporally Structured Events from Large-Scale Photo Albums<bart_xsum>,<TITLE>Learning Event Structure from Large Collection of Photo Albums<TITLE>Multimodal Learning of Event Structure from Photo Albums<TITLE>Learning Event Structure from a Large Collection of Photos<TITLE>Data-Driven Learning of Event Structure<TITLE>Learning Event Structure from Large Collection of Photos<t5_small>,<TITLE> Learning Event Knowledge from Photograph Albums<TITLE> Learning Event Knowledge from Photographs<TITLE> Learning Temporal Event Knowledge from Photograph Albums<TITLE> Learning Temporal Event Knowledge from Photographs<TITLE> Learning Event Knowledge from Large Collections of Photo Albums<gpt2>,<TITLE>Learning Multimodal Knowledge of Event Structure from Photo Album Collections<TITLE>Data-Driven Learning of Event Structure from Photo Album Collections<TITLE>Learning Multimodal Knowledge of Event Structure from Photo Album Collection<TITLE>Learning Multimodal Knowledge of Event Structure from Photo Album Content<TITLE>Learning Temporal Structure of Events from Photo Album Collections<pegasus_xsum>
2,"In contrast to the standard classification paradigm where the true class is given to each training pattern, complementary-label learning only uses training patterns each equipped with a complementary label, which only specifies one of the classes that the pattern does not belong to. The goal of this paper is to derive a novel framework of complementary-label learning with an unbiased estimator of the classification risk, for arbitrary losses and models—all existing methods have failed to achieve this goal. Not only is this beneficial for the learning stage, it also makes model/hyper-parameter selection (through crossvalidation) possible without the need of any ordinarily labeled validation data, while using any linear/non-linear models or convex/non-convex loss functions. We further improve the risk estimator by a non-negative correction and gradient ascent trick, and demonstrate its superiority through experiments.",Complementary-Label Learning for Arbitrary Losses and Models<original>,<TITLE>Non-negative Correction and Gradient Ascent for Non-negative Classification<TITLE>Non-negative Correction and Gradient Ascent for Contrastive Label Learning<TITLE>Non-negative Correction and Gradient Ascent for Approximate Classification<TITLE>Non-negative Correction and Gradient ascent for complementary-label learning<TITLE>Non-negative Correction and Gradient ascent for complementary-label classification<bart_base>,<TITLE>Combining Training and Cross-Validation with Unbiased Estimation of the Classification Risk: A Case Study on Complementary<TITLE>Combining Training and Cross-Validation with Unbiased Estimation of the Classification Risk: A Case Study in Complementary<TITLE>Combining Training and Cross-Validation with Unbiased Estimation of the Classification Risk for Losses and Models: A Case<TITLE>Combining Training and Cross-Validation with Unbiased Estimation of the Classification Risk for Losses and Models in Complement<TITLE>Combining Training and Cross-Validation with Unbiased Estimation of the Classification Risk for Losses and Models: An Application<bart_cnn>,<TITLE>An Unbiased Risk Estimation for Complementary-Label Learning<TITLE>An Unbiased Risk Estimation for Complementary-label Learning<TITLE>Risk Estimation for Complementary-Label Learning<TITLE>Risk Estimation for Complementary-label Learning<TITLE>Risk Estimation for Complementary-Label Learning<bart_xsum>,<TITLE>Comparative-Label Learning with a Non-negative Correction and Gradient Ascent<TITLE>Non-negative correction and gradient ascent trick for complementary-label learning.<TITLE>A Non-negative correction and gradient ascent trick for complementary-label learning<TITLE>Non-negative correction and gradient ascent trick for complementary-label learning<TITLE>Non-negative correction and gradient ascent trick in complementary-label learning<t5_small>,<TITLE> A Non-Linear Approach to Complementary-Label Learning<TITLE> A Non-Linear Optimization Framework for Complementary-Label Learning<TITLE> A Non-Linear Model-Based Approach to Complementary-Label Learning<TITLE> A Non-Linear Approach to Complementarity-Label Learning<TITLE> A Non-Linear Approach to Complementary-Label Learning with Optimal Loss Functions<gpt2>,<TITLE>Cross-validation of complementary-label learning with an unbiased risk estimator<TITLE>Cross-validation of complementary-label learning with an unbiased loss estimator<TITLE>Cross-validation of complementary-label learning with an unbiased estimator<TITLE>Risk Estimation in complementary-label learning with crossvalidation<TITLE>Cross-validation of complementary-label learning<pegasus_xsum>
3,"Sequence-to-sequence (seq2seq) models have achieved tremendous success in text generation tasks. However, there is no guarantee that they can always generate sentences without grammatical errors. In this paper, we present a preliminary empirical study on whether and how much automatic grammatical error correction can help improve seq2seq text generation. We conduct experiments across various seq2seq text generation tasks including machine translation, formality style transfer, sentence compression and simplification. Experiments show the state-of-the-art grammatical error correction system can improve the grammaticality of generated text and can bring task-oriented improvements in the tasks where target sentences are in a formal style.",Automatic Grammatical Error Correction for Sequence-to-sequence Text Generation: An Empirical Study<original>,<TITLE>How much Grammatical Error Correction Can Improve Sequence-to-Sequence Text Generation?<TITLE>How much Grammatical Error Correction can Improve Sequence-to-Sequence Text Generation?<TITLE>How Much Grammatical Error Correction Can Improve Sequence-to-Sequence Text Generation?<TITLE>Grammatical Error Correction Improves Sequence-to-Sequence Text Generation Tasks<TITLE>How much Grammatical Error Correction Can Improve Sequence-to-Sequence Generation?<bart_base>,<TITLE>Improving Text Generation via Grammatical Error Correction and Task-Oriented Generation of Sentences without Grammatical Errors Using Se<TITLE>Improving Text Generation via Grammatical Error Correction and Task-Oriented Generation of Sentences without Grammatical Errors Using Automatic<TITLE>Improving Text Generation via Grammatical Error Correction and Task-Oriented Generation of Sentences without Grammatical Signals.<TITLE>Improving Text Generation via Grammatical Error Correction and Task-Oriented Generation of Sentences without Grammatical Errors Using a<TITLE>Improving Text Generation via Grammatical Error Correction and Task-Oriented Generation of Sentences without Grammatical Errors Using Form<bart_cnn>,<TITLE>Automatic Grammatical Error Correction for Sequence-to-Sequence Text Generation<TITLE>Automatic Grammatical Error Correction for Sequence-to-Sequence Text Generation<TITLE>Automatic Grammatical Error Correction for Sequence-to-Sequence Models<TITLE>Automatic Grammatical Error Correction for Sequence-to-Sequence Text Generation<TITLE>Automatic Grammatical Error Correction for Sequence-to-Sequence Text Generation<bart_xsum>,<TITLE>Automatic Grammatical Error Correction for Seq2seq Text Generation<TITLE>Automatic Grammatical Error Correction in Seq2seq Text Generation<TITLE>Automatic Grammatical Error Correction for Seq2Seq Text Generation<TITLE>Grammatical Error Correction for Seq2seq Text Generation<TITLE>Automatic Grammatical Error Correction for Text Generation<t5_small>,<TITLE> Improving Text Generation with Grammatical Error Correction<TITLE> Grammatical Error Correction for Sequence-to-Sequence Text Generation<TITLE> Improving Sentence-to-Sequence Text Generation with Grammatical Error Correction<TITLE> Improving Sequence-to-Sequence Text Generation with Grammatical Error Correction<TITLE> Improving Sentence-to-Sequence Text Generation via Grammatical Error Correction<gpt2>,<TITLE>Empirical Study on Grammatical Error Correction for Sequence-to-Sequence Generation<TITLE>Empirical Study on Grammatical Error Correction in Sequence-to-Sequence Generation<TITLE>Automatic Grammatical Error Correction for Sequence-to-Sequence Text Generation<TITLE>Automatic Grammatical Error Correction for Sequence-to-Sequence Text Generation Tasks<TITLE>Empirical Study on Grammatical Error Correction for Sequence to Sequence Text Generation<pegasus_xsum>
4,"Analogical reasoning is effective in capturing linguistic regularities. This paper proposes an analogical reasoning task on Chinese. After delving into Chinese lexical knowledge, we sketch 68 implicit morphological relations and 28 explicit semantic relations. A big and balanced dataset CA8 is then built for this task, including 17813 questions. Furthermore, we systematically explore the influences of vector representations, context features, and corpora on analogical reasoning. With the experiments, CA8 is proved to be a reliable benchmark for evaluating Chinese word embeddings.",Analogical Reasoning on Chinese Morphological and Semantic Relations<original>,<TITLE>CA8: An Analogical Reasoning Task on Chinese<TITLE>CA8: An Analogical Reasoning Task for Chinese<TITLE>Analogical Reasoning for Chinese Word Embeddings<TITLE>Analogical Reasoning on Chinese<TITLE>Analogical Reasoning for Chinese<bart_base>,<TITLE>An Analogical Reasoning Task-Oriented Chinese Word Embeddings with Implicit Morphological and Explicit Semantic Relations<TITLE>An Analogical Reasoning Task-Oriented Chinese Word Embeddings: A Sketch of Implicit Morphological Relations and<TITLE>An Analogical Reasoning Task-Oriented Chinese Word Embeddings: Sketching Implicit Morphological Relations and Sem<TITLE>An Analogical Reasoning Task-Oriented Chinese Word Embeddings: A Sketch of Implicit Morphological and Sem<TITLE>An Analogical Reasoning Task-Oriented Chinese Word Embeddings: A Sketch of Implicit Morphological and Explicit<bart_cnn>,<TITLE>Analogical Reasoning in Chinese: A Case Study on Morphological and Semantic Relations<TITLE>Analogical Reasoning in Chinese: A Case Study on Morphology and Semantics<TITLE>Analogical Reasoning in Chinese: A Case Study on Morphology and Semantics<TITLE>Analogical Reasoning in Chinese<TITLE>Analogical Reasoning for Chinese<bart_xsum>,<TITLE>An Analogical Reasoning Task on Chinese<TITLE>An Analogical Reasoning Task for Chinese<TITLE>An Analogical Reasoning task on Chinese<TITLE>Analogical Reasoning for Chinese<TITLE>Analogical Reasoning on Chinese<t5_small>,<TITLE> Chinese Analogical Reasoning with Vector Representations and Context Features<TITLE> Chinese Word Embeddings as Analogical Reasoning<TITLE> Chinese Analogical Reasoning with Vector Representations<TITLE> Chinese Analogical Reasoning<TITLE> Chinese Word Embeddings as Analogical Reasoning Models<gpt2>,<TITLE>CA8: An Analogical Collocation Task on Chinese<TITLE>CA8: An Analogical Argumentation Task on Chinese<TITLE>CA8: An Analogical Collocation Task for Chinese<TITLE>CA8: An Analogical Reasoning Task on Chinese<TITLE>CA8: An Analogical Argument for Chinese<pegasus_xsum>
5,"Conditional masked language model (CMLM) training has proven successful for non-autoregressive and semi-autoregressive sequence generation tasks, such as machine translation. Given a trained CMLM, however, it is not clear what the best inference strategy is. We formulate masked inference as a factorization of conditional probabilities of partial sequences, show that this does not harm performance, and investigate a number of simple heuristics motivated by this perspective. We identify a thresholding strategy that has advantages over the standard ""mask-predict"" algorithm, and provide analyses of its behavior on machine translation tasks.",Inference Strategies for Machine Translation with Conditional Masking<original>,<TITLE>Tresholding Conditional Masked Language Model Training for Machine Translation<TITLE>A thresholding strategy for conditional masked language model training in machine translation<TITLE>Conditional Masked Language Model Training for Machine Translation<TITLE>A thresholding strategy for conditional masked language model training<TITLE>A thresholding strategy for conditional masked language models<bart_base>,<TITLE>A Thresholding Approach to Conditional Masked Language Modeling for Semi-Autoregressive Sequence Generation with Conditional In<TITLE>A Thresholding Approach to Conditional Masked Language Modeling for Semi-Autoregressive Sequence Generation with Conditional Prob<TITLE>A Thresholding Approach to Conditional Masked Language Modeling for Semi-Autoregressive and Semi-autoregressive<TITLE>A Thresholding Approach to Conditional Masked Language Modeling for Semi-Autoregressive Sequence Generation: An Analysis of<TITLE>A Thresholding Approach to Conditional Masked Language Modeling for Semi-Autoregressive Sequence Generation with Conditional Random<bart_cnn>,<TITLE>Conditional Masked Language Modeling for Non-Autoregressive Sequence Generation<TITLE>Conditional Masked Language Modeling for Non-autoregressive Sequence Generation<TITLE>Masked Inference for Non-Autoregressive Sequence Generation and Machine Translation<TITLE>Masked Inference for Non-Autoregressive Sequence Generation Tasks<TITLE>Masked Inference for Non-Autoregressive Sequence Generation<bart_xsum>,<TITLE>Conditional Masked Language Model Training for Machine Translation<TITLE>Conditional Masked Language Models for Machine Translation<TITLE>Predicting Conditional Masked Language Models<TITLE>Conditional Masked Language Model Training<TITLE>Conditional Masked Language Models<t5_small>,<TITLE> Conditional Masking for Non-Autoregressive Sequence Generation<TITLE> Factorization of Conditional Masking for Non-Autoregressive Sequence Generation<TITLE> Conditional Masking for Non-Autoregressive Sequential Generation<TITLE> Factorization of Conditional Masked Language Model<TITLE> Factorization of Conditional Masked Language Models<gpt2>,<TITLE>Masked Inference for Non-Autoregressive Sequence Generation.<TITLE>Masked Inference for Non-Autoregressive Sequence Generation<TITLE>On the Inference Strategy for Conditional Masked Language Models.<TITLE>On the Inference Strategy for Conditional Masked Language Models<TITLE>On the Effects of Masked Inference on Sequence Generation<pegasus_xsum>
6,"We investigate prototype-driven learning for primarily unsupervised sequence modeling. Prior knowledge is specified declaratively, by providing a few canonical examples of each target annotation label. This sparse prototype information is then propagated across a corpus using distributional similarity features in a log-linear generative model. On part-of-speech induction in English and Chinese, as well as an information extraction task, prototype features provide substantial error rate reductions over competitive baselines and outperform previous work. For example, we can achieve an English part-of-speech tagging accuracy of 80.5% using only three examples of each tag and no dictionary constraints. We also compare to semi-supervised learning and discuss the system’s error trends.",Prototype-Driven Learning for Sequence Models<original>,<TITLE>Posterior-Driven Learning for Unsupervised Sequence Models<TITLE>Iterative Learning for Semi-Supervised Sequence Modeling<TITLE> prototype-driven learning for unsupervised sequence modeling<TITLE> prototype-driven learning for unsupervised sequence modeling.<TITLE>Iterative Learning for Unsupervised Sequence Modeling<bart_base>,<TITLE>Prototype-Driven Learning for Part-of-Speech Induction in Unsupervised Sequence Modeling using Sparse<TITLE>Prototype-Driven Learning for Part-of-Speech Induction in Unsupervised Sequence Modeling with Sparse<TITLE>Prototype-Driven Learning for Part-of-Speech Induction in Unsupervised Sequence Modeling using Distributional<TITLE>Prototype-Driven Learning for Part-of-Speech Induction in Unsupervised Sequence Modeling Using Sparse<TITLE>Prototype-Driven Learning for Part-of-Speech Induction with Application to Unsupervised Sequence Modeling.<bart_cnn>,<TITLE>Prototype-Driven Unsupervised Sequence Modeling with Distributional Similarity Features<TITLE>Prototype-Driven Learning for Unsupervised Sequence Modeling and Information Extraction<TITLE>Prototype-Driven Learning for Unsupervised Sequence Modeling<TITLE>Prototype-Driven Learning for Unsupervised Sequence Modeling<TITLE>Prototype-Driven Learning for Unsupervised Sequence Modeling<bart_xsum>,<TITLE>Prototype-Driven Learning for primarily Unsupervised Sequence Modeling<TITLE>Prototype-Driven Learning for primarily unsupervised Sequence Modeling<TITLE>Prototype-Driven Learning for primarily Unsupervised Sequence Models<TITLE>Prototype-Driven Learning for primarily Unsupervised Sequence Modelling<TITLE>Prototype-driven Learning for primarily Unsupervised Sequence Modeling<t5_small>,<TITLE> Speeding Up Prototype-Driven Learning for Unsupervised Sequence Modeling<TITLE> Probabilistic Prototype Learning for Unsupervised Sequence Modeling<TITLE> Unsupervised Sequence Modeling with Prototype Knowledge<TITLE> Probabilistic Prototype-Driven Learning for Unsupervised Sequence Models<TITLE> Probabilistic Prototype-Driven Learning for Sequence Modeling<gpt2>,<TITLE>Prototype-Driven Learning for Unsupervised Sequence Modeling<TITLE>Prototype-driven Learning for Unsupervised Sequence Modeling<TITLE>Prototype-Driven Learning for Unsupervised Sequence Models<TITLE>Prototype-Driven Unsupervised Sequence Modeling<TITLE>Prototype-Driven Sequence Modeling<pegasus_xsum>
7,"Different languages might have different word orders. In this paper, we investigate crosslingual transfer and posit that an orderagnostic model will perform better when transferring to distant foreign languages. To test our hypothesis, we train dependency parsers on an English corpus and evaluate their transfer performance on 30 other languages. Specifically, we compare encoders and decoders based on Recurrent Neural Networks (RNNs) and modified self-attentive architectures. The former relies on sequential information while the latter is more flexible at modeling word order. Rigorous experiments and detailed analysis shows that RNN-based architectures transfer well to languages that are close to English, while self-attentive models have better overall cross-lingual transferability and perform especially well on distant languages.",On Difficulties of Cross-Lingual Transfer with Order Differences: A Case Study on Dependency Parsing<original>,<TITLE>Cross-Lingual Transfer and Self-Attentive Models<TITLE>Cross-Lingual Transfer and Self-Attentive Architecture<TITLE>Cross-Lingual Transfer of Words to Distant Languages<TITLE>Cross-Lingual Transfer to Distant Languages<TITLE>Cross-Lingual Transfer for Distant Languages<bart_base>,<TITLE>Cross-Lingual Transfer of Order-Agnostic Dependency Parsers with Recurrent Neural Networks and Modified Self-<TITLE>Cross-Lingual Transfer of Order-Agnostic Dependency Parsers to Distant Languages with Recurrent Neural Networks<TITLE>Cross-Lingual Transfer of Order-Agnostic Dependency Parsers to Distantly-Worlded Languages with Rec<TITLE>Cross-Lingual Transfer of Order-Agnostic Dependency Parsers to Distantly-Worlded Languages using Rec<TITLE>Cross-Lingual Transfer of Order-Agnostic Dependency Parsers to Distant Languages with Recurrent Neural Network<bart_cnn>,<TITLE>Cross-Lingual Transferability of Dependency Parsers with Self-Attentive and RNNs<TITLE>Cross-Lingual Transferability of Dependency Parsers: An Orderagnostic Approach<TITLE>Cross-Lingual Transferability of Dependency Parsers with Orderagnostic Architectures<TITLE>Cross-Lingual Transferability of Dependency Parsers to Distant Languages<TITLE>Cross-Lingual Transferability of Dependency Parsers to Foreign Languages<bart_xsum>,<TITLE>Cross-Lingual Transfer with Orderagnostic Architecture<TITLE>Cross-lingual Transfer with Orderagnostic Models<TITLE>Cross-lingual Transfer with Orderagnostic Architectures<TITLE>Crosslingual Transfer with Orderagnostic Models<TITLE>Crosslingual Transfer with Orderagnostic Architectures<t5_small>,<TITLE> Cross-Lingual Transfer and Perturbation of Dependency Parsers<TITLE> Cross-Lingual Transfer and Perturbation in Dependency Parsing<TITLE> Cross-Lingual Transfer and Perturbation for Distant Languages<TITLE> Cross-Lingual Transfer and Perturbation for Multilingual Parsing<TITLE> Cross-Lingual Transfer and Perturbation for Distant Language<gpt2>,<TITLE>Dependency-Based Cross-Lingual Transfer: An Order Agnostic Approach<TITLE>Dependency-based Cross-Lingual Transfer with Order Agnostic Neural Networks<TITLE>Dependency-based Cross-Lingual Transfer with Recurrent Neural Networks<TITLE>Dependency-based Cross-Lingual Transfer of Word Order Models<TITLE>Cross-Lingual Transfer of Dependency Parsers<pegasus_xsum>
8,"We examine the Bayes-consistency of a recently proposed 1-nearest-neighbor-based multiclass learning algorithm. This algorithm is derived from sample compression bounds and enjoys the statistical advantages of tight, fully empirical generalization bounds, as well as the algorithmic advantages of a faster runtime and memory savings. We prove that this algorithm is strongly Bayes-consistent in metric spaces with finite doubling dimension — the first consistency result for an efficient nearest-neighbor sample compression scheme. Rather surprisingly, we discover that this algorithm continues to be Bayes-consistent even in a certain infinitedimensional setting, in which the basic measure-theoretic conditions on which classic consistency proofs hinge are violated. This is all the more surprising, since it is known that k-NN is not Bayes-consistent in this setting. We pose several challenging open problems for future research.",Beyond Convexity: Stochastic Quasi-Convex Optimization<original>,<TITLE>The Bayes-Consistency of Multiclass Learning.<TITLE>The Bayes-Consistency of Multiclass Learning<TITLE>The Bayes Consistency of Multiclass Learning.<TITLE>The Bayes Consistency of Multiclass Learning<TITLE>Bayes Consistency in Multiclass Learning<bart_base>,<TITLE>Bayes-Consistency of 1-Nearest Neighbor-based Multiclass Learning with Application to Measure-theoret<TITLE>Bayes-Consistency of 1-Nearest Neighbor-based Multiclass Learning Algorithms with Finite Double<TITLE>Bayes-Consistency of 1-Nearest Neighbor-based Multiclass Learning Algorithms with Finite Dou<TITLE>Bayes-Consistency of 1-Nearest Neighbor-based Multiclass Learning with Application to Measure-Theoret<TITLE>Bayes-Consistency of 1-Nearest Neighbor-based Multiclass Learning Algorithms with Finite-<bart_cnn>,<TITLE>Bayes-Consistency of 1-Nearest-Neighbor Sample Compression for Multiclass Learning<TITLE>Bayes-Consistency of 1-Nearest-Neighbor Sample Compression for Multiclass Learning.<TITLE>Bayes-Consistency of 1-Nearest-Neighbor Sample Compression for Multiclass Learning<TITLE>Bayes-Consistency of 1-Nearest-Neighbor Sample Compression Algorithms<TITLE>Bayes-Consistency of 1-Nearest-Neighbor Sample Compression Algorithms<bart_xsum>,<TITLE>Bayes-consistency of a 1-nearest-neighbor-based multiclass learning algorithm<TITLE>Bayes-consistency of nearest-neighbor Sample Compression<TITLE>Bayes-consistency of nearest-neighbor sample compression algorithms<TITLE>Bayes-consistency of nearest-neighbor sample compression<TITLE>Bayes-Consistent Multiclass Learning<t5_small>,<TITLE> Bayes-Consistency of Multiclass Learning<TITLE> Bayes-Consistency of Multiclass Learning Algorithms<TITLE> Bayes-Consistency of Sample Compression Bounds<TITLE> Bayes-Consistency of Multi-Class Learning<TITLE> Bayes-Consistency of Sample Compression Methods<gpt2>,<TITLE>On the Bayes-Consistency of Nearest-Oriented Multiclass Learning.<TITLE>On the Bayes-Consistency of Nearest-Oriented Multiclass Learning Algorithms<TITLE>Bayes-Consistency of a Nearest-Oriented Multiclass Learning Algorithm.<TITLE>Bayes-Consistency of a Nearest-Oriented Multiclass Learning Algorithm<TITLE>On the Bayes-Consistency of Nearest-Oriented Multiclass Learning<pegasus_xsum>
9,"Supervised learning is difficult with high dimensional input spaces and very small training sets, but accurate classification may be possible if the data lie on a low-dimensional manifold. Gaussian Process Latent Variable Models can discover low dimensional manifolds given only a small number of examples, but learn a latent space without regard for class labels. Existing methods for discriminative manifold learning (e.g., LDA, GDA) do constrain the class distribution in the latent space, but are generally deterministic and may not generalize well with limited training data. We introduce a method for Gaussian Process Classification using latent variable models trained with discriminative priors over the latent space, which can learn a discriminative latent space from a small training set.",Discriminative Gaussian Process Latent Variable Models for Classification<original>,<TITLE>Discriminative Latent Variable Models for Gaussian Process Classification<TITLE>Discriminative Latent Space Learning for Gaussian Process Classification<TITLE>Learning Discriminative Latent Space for Gaussian Process Classification<TITLE>Gaussian Process Latent Variable Models for Classification<TITLE>Gaussian Process Latent Variable Models<bart_base>,<TITLE>Discriminative Manifold Learning with Gaussian Process Priors over the Latent Space for Low-Dimensional Man<TITLE>Discriminative Manifold Learning with Gaussian Process Priors over the Latent Space for Low Dimensional Manif<TITLE>Discriminative Manifold Learning with Gaussian Process Priors over the Latent Space for Low-dimensional Manif<TITLE>Discriminative Manifold Learning with Gaussian Process Priors over the Latent Space for Low-Dimension Man<TITLE>Discriminative Manifold Learning with Gaussian Process Priors over the Latent Space using Discriminatively-<bart_cnn>,<TITLE>Gaussian Process Latent Variable Models for Manifold Learning<TITLE>Gaussian Process Latent Variable Models for Manifold Classification<TITLE>Gaussian Process Latent Variable Models for Manifold Learning<TITLE>Gaussian Process Latent Variable Models for Manifold Classification<TITLE>Gaussian Process Classification with Latent Variable Models<bart_xsum>,<TITLE>Gaussian Process Classification using Latent Variable Models<TITLE>Gaussian Process Classification with Latent Variable Models<TITLE>Gaussian Process Classification via Latent Variable Models<TITLE>Gaussian Process Classification with Discriminative Priors<TITLE>Gaussian Process Classification using Discriminative Priors<t5_small>,<TITLE> Discriminative Latent Variables for Gaussian Process Classification<TITLE> Discriminative Latent Variable Models for Gaussian Process Classification<TITLE> Discriminative Latent Variational Autoencoders<TITLE> Discriminative Latent Variable Models<TITLE> Discriminative Latent Variables for Gaussian Process Learning<gpt2>,<TITLE>A Discriminative Latent Space Model for Supervised Process Classification<TITLE>A Discriminative Latent Space Model for Supervised Manifold Learning<TITLE>A Discriminative Latent Space for Supervised Process Classification.<TITLE>A Discriminative Latent Space for Supervised Process Classification<TITLE>Discriminative Latent Manifold Learning for Supervised Process Classification<pegasus_xsum>
